types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Ralph_Richardson,Sir Ralph Richardson,643,138,1.0,0.0,5,10,== Life and career == | === Postwar ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Ralph_Richardson,Sir Ralph Richardson,643,138,1.0,0.0,5,10,== Life and career == | === Postwar ===
http://dbpedia.org/class/yago/WikicatActors,http://dbpedia.org/resource/Ralph_Richardson,Sir Ralph Richardson,643,138,1.0,0.0,5,10,== Life and career == | === Postwar ===
http://dbpedia.org/class/yago/WikicatBritishFilmActors,http://dbpedia.org/resource/Ralph_Richardson,Sir Ralph Richardson,643,138,1.0,0.0,5,10,== Life and career == | === Postwar ===
http://dbpedia.org/class/yago/WikicatBritishPeople,http://dbpedia.org/resource/Ralph_Richardson,Sir Ralph Richardson,643,138,1.0,0.0,5,10,== Life and career == | === Postwar ===
http://dbpedia.org/class/yago/WikicatBritishStageActors,http://dbpedia.org/resource/Ralph_Richardson,Sir Ralph Richardson,643,138,1.0,0.0,5,10,== Life and career == | === Postwar ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Ralph_Richardson,Sir Ralph Richardson,643,138,1.0,0.0,5,10,== Life and career == | === Postwar ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Ralph_Richardson,Sir Ralph Richardson,643,138,1.0,0.0,5,10,== Life and career == | === Postwar ===
http://dbpedia.org/class/yago/WikicatMaleActorsFromGloucestershire,http://dbpedia.org/resource/Ralph_Richardson,Sir Ralph Richardson,643,138,1.0,0.0,5,10,== Life and career == | === Postwar ===
http://dbpedia.org/class/yago/WikicatMaleShakespeareanActors,http://dbpedia.org/resource/Ralph_Richardson,Sir Ralph Richardson,643,138,1.0,0.0,5,10,== Life and career == | === Postwar ===
http://dbpedia.org/class/yago/WikicatShakespeareanActors,http://dbpedia.org/resource/Ralph_Richardson,Sir Ralph Richardson,643,138,1.0,0.0,5,10,== Life and career == | === Postwar ===
