types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Prison_visitor,prison visitor,21,29,0.9999999999868692,0.0,0,11,== Career == | === Volunteer work ===
http://dbpedia.org/class/yago/WikicatPrisons,http://dbpedia.org/resource/Prison_visitor,prison visitor,21,29,0.9999999999868692,0.0,0,11,== Career == | === Volunteer work ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Prison_visitor,prison visitor,21,29,0.9999999999868692,0.0,0,11,== Career == | === Volunteer work ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Prison_visitor,prison visitor,21,29,0.9999999999868692,0.0,0,11,== Career == | === Volunteer work ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Prison_visitor,prison visitor,21,29,0.9999999999868692,0.0,0,11,== Career == | === Volunteer work ===
http://dbpedia.org/class/yago/CorrectionalInstitution103111690,http://dbpedia.org/resource/Prison_visitor,prison visitor,21,29,0.9999999999868692,0.0,0,11,== Career == | === Volunteer work ===
http://dbpedia.org/class/yago/Establishment103297735,http://dbpedia.org/resource/Prison_visitor,prison visitor,21,29,0.9999999999868692,0.0,0,11,== Career == | === Volunteer work ===
http://dbpedia.org/class/yago/Institution103574555,http://dbpedia.org/resource/Prison_visitor,prison visitor,21,29,0.9999999999868692,0.0,0,11,== Career == | === Volunteer work ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Prison_visitor,prison visitor,21,29,0.9999999999868692,0.0,0,11,== Career == | === Volunteer work ===
http://dbpedia.org/class/yago/PenalInstitution103907654,http://dbpedia.org/resource/Prison_visitor,prison visitor,21,29,0.9999999999868692,0.0,0,11,== Career == | === Volunteer work ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Prison_visitor,prison visitor,21,29,0.9999999999868692,0.0,0,11,== Career == | === Volunteer work ===
http://dbpedia.org/class/yago/Prison104005630,http://dbpedia.org/resource/Prison_visitor,prison visitor,21,29,0.9999999999868692,0.0,0,11,== Career == | === Volunteer work ===
http://dbpedia.org/class/yago/Structure104341686,http://dbpedia.org/resource/Prison_visitor,prison visitor,21,29,0.9999999999868692,0.0,0,11,== Career == | === Volunteer work ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Prison_visitor,prison visitor,21,29,0.9999999999868692,0.0,0,11,== Career == | === Volunteer work ===
