types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Sant_Jordi_Awards,Sant Jordi Award,77,142,1.0,0.0,6,17,== Career == | === Film ===
http://www.wikidata.org/entity/Q618779,http://dbpedia.org/resource/Sant_Jordi_Awards,Sant Jordi Award,77,142,1.0,0.0,6,17,== Career == | === Film ===
http://dbpedia.org/ontology/Award,http://dbpedia.org/resource/Sant_Jordi_Awards,Sant Jordi Award,77,142,1.0,0.0,6,17,== Career == | === Film ===
