types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/My_Mammy,Mammy,49,41,0.7694163904456097,0.295965270819791,3,47,== War tours == | === Korean War ===
http://dbpedia.org/class/yago/WikicatAlJolsonSongs,http://dbpedia.org/resource/My_Mammy,Mammy,49,41,0.7694163904456097,0.295965270819791,3,47,== War tours == | === Korean War ===
http://dbpedia.org/ontology/Single,http://dbpedia.org/resource/My_Mammy,Mammy,49,41,0.7694163904456097,0.295965270819791,3,47,== War tours == | === Korean War ===
http://dbpedia.org/class/yago/WikicatPopStandards,http://dbpedia.org/resource/My_Mammy,Mammy,49,41,0.7694163904456097,0.295965270819791,3,47,== War tours == | === Korean War ===
http://dbpedia.org/class/yago/WikicatLizaMinnelliSongs,http://dbpedia.org/resource/My_Mammy,Mammy,49,41,0.7694163904456097,0.295965270819791,3,47,== War tours == | === Korean War ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/My_Mammy,Mammy,49,41,0.7694163904456097,0.295965270819791,3,47,== War tours == | === Korean War ===
http://dbpedia.org/class/yago/AuditoryCommunication107109019,http://dbpedia.org/resource/My_Mammy,Mammy,49,41,0.7694163904456097,0.295965270819791,3,47,== War tours == | === Korean War ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/My_Mammy,Mammy,49,41,0.7694163904456097,0.295965270819791,3,47,== War tours == | === Korean War ===
http://dbpedia.org/class/yago/Measure100033615,http://dbpedia.org/resource/My_Mammy,Mammy,49,41,0.7694163904456097,0.295965270819791,3,47,== War tours == | === Korean War ===
http://dbpedia.org/class/yago/Music107020895,http://dbpedia.org/resource/My_Mammy,Mammy,49,41,0.7694163904456097,0.295965270819791,3,47,== War tours == | === Korean War ===
http://dbpedia.org/class/yago/MusicalComposition107037465,http://dbpedia.org/resource/My_Mammy,Mammy,49,41,0.7694163904456097,0.295965270819791,3,47,== War tours == | === Korean War ===
http://dbpedia.org/class/yago/Song107048000,http://dbpedia.org/resource/My_Mammy,Mammy,49,41,0.7694163904456097,0.295965270819791,3,47,== War tours == | === Korean War ===
http://dbpedia.org/class/yago/Standard107260623,http://dbpedia.org/resource/My_Mammy,Mammy,49,41,0.7694163904456097,0.295965270819791,3,47,== War tours == | === Korean War ===
http://dbpedia.org/class/yago/SystemOfMeasurement113577171,http://dbpedia.org/resource/My_Mammy,Mammy,49,41,0.7694163904456097,0.295965270819791,3,47,== War tours == | === Korean War ===
http://dbpedia.org/class/yago/Wikicat1921Songs,http://dbpedia.org/resource/My_Mammy,Mammy,49,41,0.7694163904456097,0.295965270819791,3,47,== War tours == | === Korean War ===
http://dbpedia.org/class/yago/WikicatSongsWithLyricsByJoeYoung(lyricist),http://dbpedia.org/resource/My_Mammy,Mammy,49,41,0.7694163904456097,0.295965270819791,3,47,== War tours == | === Korean War ===
http://dbpedia.org/class/yago/WikicatSongsWithMusicByWalterDonaldson,http://dbpedia.org/resource/My_Mammy,Mammy,49,41,0.7694163904456097,0.295965270819791,3,47,== War tours == | === Korean War ===
