types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatAdvertisingCampaigns,http://dbpedia.org/resource/Media_buying,media buying,49,70,0.99999999986494,0.0,2,11,== Career == | === Media Results ===
http://dbpedia.org/class/yago/WikicatAdvertisingOccupations,http://dbpedia.org/resource/Media_buying,media buying,49,70,0.99999999986494,0.0,2,11,== Career == | === Media Results ===
http://dbpedia.org/class/yago/Work100575741,http://dbpedia.org/resource/Media_buying,media buying,49,70,0.99999999986494,0.0,2,11,== Career == | === Media Results ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Media_buying,media buying,49,70,0.99999999986494,0.0,2,11,== Career == | === Media Results ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Media_buying,media buying,49,70,0.99999999986494,0.0,2,11,== Career == | === Media Results ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Media_buying,media buying,49,70,0.99999999986494,0.0,2,11,== Career == | === Media Results ===
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/Media_buying,media buying,49,70,0.99999999986494,0.0,2,11,== Career == | === Media Results ===
http://dbpedia.org/class/yago/AdvertisingCampaign100798959,http://dbpedia.org/resource/Media_buying,media buying,49,70,0.99999999986494,0.0,2,11,== Career == | === Media Results ===
http://dbpedia.org/class/yago/Campaign100798245,http://dbpedia.org/resource/Media_buying,media buying,49,70,0.99999999986494,0.0,2,11,== Career == | === Media Results ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Media_buying,media buying,49,70,0.99999999986494,0.0,2,11,== Career == | === Media Results ===
http://dbpedia.org/class/yago/Occupation100582388,http://dbpedia.org/resource/Media_buying,media buying,49,70,0.99999999986494,0.0,2,11,== Career == | === Media Results ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Media_buying,media buying,49,70,0.99999999986494,0.0,2,11,== Career == | === Media Results ===
http://dbpedia.org/class/yago/Undertaking100795720,http://dbpedia.org/resource/Media_buying,media buying,49,70,0.99999999986494,0.0,2,11,== Career == | === Media Results ===
http://dbpedia.org/class/yago/Venture100797878,http://dbpedia.org/resource/Media_buying,media buying,49,70,0.99999999986494,0.0,2,11,== Career == | === Media Results ===
