types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Bolshoi_Theatre,Bolshoi Theatre,1427,90,0.9999999999999432,5.5762655749060754e-14,7,5,== Career == | === Concert artist ===
http://dbpedia.org/ontology/Company,http://dbpedia.org/resource/Bolshoi_Theatre,Bolshoi Theatre,1427,90,0.9999999999999432,5.5762655749060754e-14,7,5,== Career == | === Concert artist ===
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Bolshoi_Theatre,Bolshoi Theatre,1427,90,0.9999999999999432,5.5762655749060754e-14,7,5,== Career == | === Concert artist ===
http://dbpedia.org/class/yago/WikicatBuildingsAndStructuresCompletedIn1825,http://dbpedia.org/resource/Bolshoi_Theatre,Bolshoi Theatre,1427,90,0.9999999999999432,5.5762655749060754e-14,7,5,== Career == | === Concert artist ===
http://dbpedia.org/class/yago/WikicatBuildingsAndStructuresInMoscow,http://dbpedia.org/resource/Bolshoi_Theatre,Bolshoi Theatre,1427,90,0.9999999999999432,5.5762655749060754e-14,7,5,== Career == | === Concert artist ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Bolshoi_Theatre,Bolshoi Theatre,1427,90,0.9999999999999432,5.5762655749060754e-14,7,5,== Career == | === Concert artist ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Bolshoi_Theatre,Bolshoi Theatre,1427,90,0.9999999999999432,5.5762655749060754e-14,7,5,== Career == | === Concert artist ===
http://umbel.org/umbel/rc/Building,http://dbpedia.org/resource/Bolshoi_Theatre,Bolshoi Theatre,1427,90,0.9999999999999432,5.5762655749060754e-14,7,5,== Career == | === Concert artist ===
http://umbel.org/umbel/rc/Location_Underspecified,http://dbpedia.org/resource/Bolshoi_Theatre,Bolshoi Theatre,1427,90,0.9999999999999432,5.5762655749060754e-14,7,5,== Career == | === Concert artist ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Bolshoi_Theatre,Bolshoi Theatre,1427,90,0.9999999999999432,5.5762655749060754e-14,7,5,== Career == | === Concert artist ===
http://dbpedia.org/class/yago/Building102913152,http://dbpedia.org/resource/Bolshoi_Theatre,Bolshoi Theatre,1427,90,0.9999999999999432,5.5762655749060754e-14,7,5,== Career == | === Concert artist ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Bolshoi_Theatre,Bolshoi Theatre,1427,90,0.9999999999999432,5.5762655749060754e-14,7,5,== Career == | === Concert artist ===
http://dbpedia.org/class/yago/Opera103849814,http://dbpedia.org/resource/Bolshoi_Theatre,Bolshoi Theatre,1427,90,0.9999999999999432,5.5762655749060754e-14,7,5,== Career == | === Concert artist ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Bolshoi_Theatre,Bolshoi Theatre,1427,90,0.9999999999999432,5.5762655749060754e-14,7,5,== Career == | === Concert artist ===
http://dbpedia.org/class/yago/Structure104341686,http://dbpedia.org/resource/Bolshoi_Theatre,Bolshoi Theatre,1427,90,0.9999999999999432,5.5762655749060754e-14,7,5,== Career == | === Concert artist ===
http://dbpedia.org/class/yago/Theater104417809,http://dbpedia.org/resource/Bolshoi_Theatre,Bolshoi Theatre,1427,90,0.9999999999999432,5.5762655749060754e-14,7,5,== Career == | === Concert artist ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Bolshoi_Theatre,Bolshoi Theatre,1427,90,0.9999999999999432,5.5762655749060754e-14,7,5,== Career == | === Concert artist ===
http://dbpedia.org/class/yago/WikicatOperaHouses,http://dbpedia.org/resource/Bolshoi_Theatre,Bolshoi Theatre,1427,90,0.9999999999999432,5.5762655749060754e-14,7,5,== Career == | === Concert artist ===
http://dbpedia.org/class/yago/WikicatOperaHousesInRussia,http://dbpedia.org/resource/Bolshoi_Theatre,Bolshoi Theatre,1427,90,0.9999999999999432,5.5762655749060754e-14,7,5,== Career == | === Concert artist ===
http://dbpedia.org/class/yago/WikicatTheatresCompletedIn1825,http://dbpedia.org/resource/Bolshoi_Theatre,Bolshoi Theatre,1427,90,0.9999999999999432,5.5762655749060754e-14,7,5,== Career == | === Concert artist ===
http://dbpedia.org/class/yago/WikicatTheatresInMoscow,http://dbpedia.org/resource/Bolshoi_Theatre,Bolshoi Theatre,1427,90,0.9999999999999432,5.5762655749060754e-14,7,5,== Career == | === Concert artist ===
http://dbpedia.org/class/yago/WikicatTheatresInRussia,http://dbpedia.org/resource/Bolshoi_Theatre,Bolshoi Theatre,1427,90,0.9999999999999432,5.5762655749060754e-14,7,5,== Career == | === Concert artist ===
