types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatCalendarEras,http://dbpedia.org/resource/Before_Present,YBP,3119,0,0.9999996596651652,0.0,0,31,== Discography == | === EPs ===
http://dbpedia.org/class/yago/WikicatDatingMethods,http://dbpedia.org/resource/Before_Present,YBP,3119,0,0.9999996596651652,0.0,0,31,== Discography == | === EPs ===
http://dbpedia.org/class/yago/WikicatUnitsOfTime,http://dbpedia.org/resource/Before_Present,YBP,3119,0,0.9999996596651652,0.0,0,31,== Discography == | === EPs ===
http://dbpedia.org/class/yago/WikicatMethodsAndPrinciplesInArchaeology,http://dbpedia.org/resource/Before_Present,YBP,3119,0,0.9999996596651652,0.0,0,31,== Discography == | === EPs ===
http://dbpedia.org/class/yago/Ability105616246,http://dbpedia.org/resource/Before_Present,YBP,3119,0,0.9999996596651652,0.0,0,31,== Discography == | === EPs ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Before_Present,YBP,3119,0,0.9999996596651652,0.0,0,31,== Discography == | === EPs ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Before_Present,YBP,3119,0,0.9999996596651652,0.0,0,31,== Discography == | === EPs ===
http://dbpedia.org/class/yago/Duration115133621,http://dbpedia.org/resource/Before_Present,YBP,3119,0,0.9999996596651652,0.0,0,31,== Discography == | === EPs ===
http://dbpedia.org/class/yago/Era115248564,http://dbpedia.org/resource/Before_Present,YBP,3119,0,0.9999996596651652,0.0,0,31,== Discography == | === EPs ===
http://dbpedia.org/class/yago/FundamentalQuantity113575869,http://dbpedia.org/resource/Before_Present,YBP,3119,0,0.9999996596651652,0.0,0,31,== Discography == | === EPs ===
http://dbpedia.org/class/yago/Know-how105616786,http://dbpedia.org/resource/Before_Present,YBP,3119,0,0.9999996596651652,0.0,0,31,== Discography == | === EPs ===
http://dbpedia.org/class/yago/Measure100033615,http://dbpedia.org/resource/Before_Present,YBP,3119,0,0.9999996596651652,0.0,0,31,== Discography == | === EPs ===
http://dbpedia.org/class/yago/Method105660268,http://dbpedia.org/resource/Before_Present,YBP,3119,0,0.9999996596651652,0.0,0,31,== Discography == | === EPs ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Before_Present,YBP,3119,0,0.9999996596651652,0.0,0,31,== Discography == | === EPs ===
http://dbpedia.org/class/yago/TimePeriod115113229,http://dbpedia.org/resource/Before_Present,YBP,3119,0,0.9999996596651652,0.0,0,31,== Discography == | === EPs ===
http://dbpedia.org/class/yago/TimeScale115134691,http://dbpedia.org/resource/Before_Present,YBP,3119,0,0.9999996596651652,0.0,0,31,== Discography == | === EPs ===
http://dbpedia.org/class/yago/TimeUnit115154774,http://dbpedia.org/resource/Before_Present,YBP,3119,0,0.9999996596651652,0.0,0,31,== Discography == | === EPs ===
http://dbpedia.org/class/yago/WikicatTimeScales,http://dbpedia.org/resource/Before_Present,YBP,3119,0,0.9999996596651652,0.0,0,31,== Discography == | === EPs ===
