types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Band,http://dbpedia.org/resource/Vancouver_Southsiders,Southsiders,15,16,0.999747078177257,0.0002529857216590534,0,21,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Vancouver_Southsiders,Southsiders,15,16,0.999747078177257,0.0002529857216590534,0,21,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Vancouver_Southsiders,Southsiders,15,16,0.999747078177257,0.0002529857216590534,0,21,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Vancouver_Southsiders,Southsiders,15,16,0.999747078177257,0.0002529857216590534,0,21,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/WikicatMajorLeagueSoccerFanClubs,http://dbpedia.org/resource/Vancouver_Southsiders,Southsiders,15,16,0.999747078177257,0.0002529857216590534,0,21,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Vancouver_Southsiders,Southsiders,15,16,0.999747078177257,0.0002529857216590534,0,21,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/Association108049401,http://dbpedia.org/resource/Vancouver_Southsiders,Southsiders,15,16,0.999747078177257,0.0002529857216590534,0,21,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/Club108227214,http://dbpedia.org/resource/Vancouver_Southsiders,Southsiders,15,16,0.999747078177257,0.0002529857216590534,0,21,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Vancouver_Southsiders,Southsiders,15,16,0.999747078177257,0.0002529857216590534,0,21,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Vancouver_Southsiders,Southsiders,15,16,0.999747078177257,0.0002529857216590534,0,21,== Discography == | === Guest appearances ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Vancouver_Southsiders,Southsiders,15,16,0.999747078177257,0.0002529857216590534,0,21,== Discography == | === Guest appearances ===
