types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Apple_Records,Zapple,1587,67,1.0,0.0,3,14,== Biography == | ==== Recognition ====
http://dbpedia.org/class/yago/WikicatIndianMusicRecordLabels,http://dbpedia.org/resource/Apple_Records,Zapple,1587,67,1.0,0.0,3,14,== Biography == | ==== Recognition ====
http://dbpedia.org/class/yago/WikicatPopRecordLabels,http://dbpedia.org/resource/Apple_Records,Zapple,1587,67,1.0,0.0,3,14,== Biography == | ==== Recognition ====
http://dbpedia.org/ontology/RecordLabel,http://dbpedia.org/resource/Apple_Records,Zapple,1587,67,1.0,0.0,3,14,== Biography == | ==== Recognition ====
http://dbpedia.org/class/yago/WikicatBritishRecordLabels,http://dbpedia.org/resource/Apple_Records,Zapple,1587,67,1.0,0.0,3,14,== Biography == | ==== Recognition ====
http://dbpedia.org/class/yago/WikicatCompaniesAssociatedWithTheBeatles,http://dbpedia.org/resource/Apple_Records,Zapple,1587,67,1.0,0.0,3,14,== Biography == | ==== Recognition ====
http://dbpedia.org/class/yago/WikicatCompaniesEstablishedIn1968,http://dbpedia.org/resource/Apple_Records,Zapple,1587,67,1.0,0.0,3,14,== Biography == | ==== Recognition ====
http://dbpedia.org/class/yago/WikicatCompaniesOfEngland,http://dbpedia.org/resource/Apple_Records,Zapple,1587,67,1.0,0.0,3,14,== Biography == | ==== Recognition ====
http://dbpedia.org/class/yago/WikicatVanityRecordLabels,http://dbpedia.org/resource/Apple_Records,Zapple,1587,67,1.0,0.0,3,14,== Biography == | ==== Recognition ====
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Apple_Records,Zapple,1587,67,1.0,0.0,3,14,== Biography == | ==== Recognition ====
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Apple_Records,Zapple,1587,67,1.0,0.0,3,14,== Biography == | ==== Recognition ====
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Apple_Records,Zapple,1587,67,1.0,0.0,3,14,== Biography == | ==== Recognition ====
http://umbel.org/umbel/rc/Business,http://dbpedia.org/resource/Apple_Records,Zapple,1587,67,1.0,0.0,3,14,== Biography == | ==== Recognition ====
http://umbel.org/umbel/rc/Organization,http://dbpedia.org/resource/Apple_Records,Zapple,1587,67,1.0,0.0,3,14,== Biography == | ==== Recognition ====
http://umbel.org/umbel/rc/RecordCompany,http://dbpedia.org/resource/Apple_Records,Zapple,1587,67,1.0,0.0,3,14,== Biography == | ==== Recognition ====
http://dbpedia.org/class/yago/WikicatRecordLabelsDisestablishedIn1969,http://dbpedia.org/resource/Apple_Records,Zapple,1587,67,1.0,0.0,3,14,== Biography == | ==== Recognition ====
http://dbpedia.org/class/yago/WikicatRecordLabelsEstablishedIn1968,http://dbpedia.org/resource/Apple_Records,Zapple,1587,67,1.0,0.0,3,14,== Biography == | ==== Recognition ====
http://dbpedia.org/class/yago/WikicatRockRecordLabels,http://dbpedia.org/resource/Apple_Records,Zapple,1587,67,1.0,0.0,3,14,== Biography == | ==== Recognition ====
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Apple_Records,Zapple,1587,67,1.0,0.0,3,14,== Biography == | ==== Recognition ====
http://dbpedia.org/class/yago/Company108058098,http://dbpedia.org/resource/Apple_Records,Zapple,1587,67,1.0,0.0,3,14,== Biography == | ==== Recognition ====
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Apple_Records,Zapple,1587,67,1.0,0.0,3,14,== Biography == | ==== Recognition ====
http://dbpedia.org/class/yago/Institution108053576,http://dbpedia.org/resource/Apple_Records,Zapple,1587,67,1.0,0.0,3,14,== Biography == | ==== Recognition ====
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Apple_Records,Zapple,1587,67,1.0,0.0,3,14,== Biography == | ==== Recognition ====
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Apple_Records,Zapple,1587,67,1.0,0.0,3,14,== Biography == | ==== Recognition ====
http://dbpedia.org/class/yago/WikicatExperimentalMusicRecordLabels,http://dbpedia.org/resource/Apple_Records,Zapple,1587,67,1.0,0.0,3,14,== Biography == | ==== Recognition ====
