types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/Location100027167,http://dbpedia.org/resource/East_Karelia,East Karelia,202,53,0.9999957999041084,4.200113537189808e-06,4,5,== Life == | === War time ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/East_Karelia,East Karelia,202,53,0.9999957999041084,4.200113537189808e-06,4,5,== Life == | === War time ===
http://dbpedia.org/class/yago/GeographicalArea108574314,http://dbpedia.org/resource/East_Karelia,East Karelia,202,53,0.9999957999041084,4.200113537189808e-06,4,5,== Life == | === War time ===
http://dbpedia.org/class/yago/WikicatTraditionalSubdivisionsOfRussia,http://dbpedia.org/resource/East_Karelia,East Karelia,202,53,0.9999957999041084,4.200113537189808e-06,4,5,== Life == | === War time ===
http://dbpedia.org/class/yago/Subdivision108674251,http://dbpedia.org/resource/East_Karelia,East Karelia,202,53,0.9999957999041084,4.200113537189808e-06,4,5,== Life == | === War time ===
http://dbpedia.org/class/yago/Tract108673395,http://dbpedia.org/resource/East_Karelia,East Karelia,202,53,0.9999957999041084,4.200113537189808e-06,4,5,== Life == | === War time ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/East_Karelia,East Karelia,202,53,0.9999957999041084,4.200113537189808e-06,4,5,== Life == | === War time ===
http://dbpedia.org/class/yago/Region108630985,http://dbpedia.org/resource/East_Karelia,East Karelia,202,53,0.9999957999041084,4.200113537189808e-06,4,5,== Life == | === War time ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/East_Karelia,East Karelia,202,53,0.9999957999041084,4.200113537189808e-06,4,5,== Life == | === War time ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/East_Karelia,East Karelia,202,53,0.9999957999041084,4.200113537189808e-06,4,5,== Life == | === War time ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/East_Karelia,East Karelia,202,53,0.9999957999041084,4.200113537189808e-06,4,5,== Life == | === War time ===
