types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Plastic_surgery,plastic surgeons,2166,83,1.0,0.0,2,15,== Public image and legacy == | === Face ===
http://dbpedia.org/ontology/AnatomicalStructure,http://dbpedia.org/resource/Plastic_surgery,plastic surgeons,2166,83,1.0,0.0,2,15,== Public image and legacy == | === Face ===
http://dbpedia.org/ontology/PersonFunction,http://dbpedia.org/resource/Plastic_surgery,plastic surgeons,2166,83,1.0,0.0,2,15,== Public image and legacy == | === Face ===
