types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatShoes,http://dbpedia.org/resource/Shoelaces,shoelace,109,100,0.9999999997500026,0.0,11,52,== Artistry == | === Live performances ===
http://dbpedia.org/class/yago/Accessory102671780,http://dbpedia.org/resource/Shoelaces,shoelace,109,100,0.9999999997500026,0.0,11,52,== Artistry == | === Live performances ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Shoelaces,shoelace,109,100,0.9999999997500026,0.0,11,52,== Artistry == | === Live performances ===
http://dbpedia.org/class/yago/Clothing103051540,http://dbpedia.org/resource/Shoelaces,shoelace,109,100,0.9999999997500026,0.0,11,52,== Artistry == | === Live performances ===
http://dbpedia.org/class/yago/Commodity103076708,http://dbpedia.org/resource/Shoelaces,shoelace,109,100,0.9999999997500026,0.0,11,52,== Artistry == | === Live performances ===
http://dbpedia.org/class/yago/ConsumerGoods103093574,http://dbpedia.org/resource/Shoelaces,shoelace,109,100,0.9999999997500026,0.0,11,52,== Artistry == | === Live performances ===
http://dbpedia.org/class/yago/Covering103122748,http://dbpedia.org/resource/Shoelaces,shoelace,109,100,0.9999999997500026,0.0,11,52,== Artistry == | === Live performances ===
http://dbpedia.org/class/yago/Footwear103380867,http://dbpedia.org/resource/Shoelaces,shoelace,109,100,0.9999999997500026,0.0,11,52,== Artistry == | === Live performances ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Shoelaces,shoelace,109,100,0.9999999997500026,0.0,11,52,== Artistry == | === Live performances ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Shoelaces,shoelace,109,100,0.9999999997500026,0.0,11,52,== Artistry == | === Live performances ===
http://dbpedia.org/class/yago/Shoe104199027,http://dbpedia.org/resource/Shoelaces,shoelace,109,100,0.9999999997500026,0.0,11,52,== Artistry == | === Live performances ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Shoelaces,shoelace,109,100,0.9999999997500026,0.0,11,52,== Artistry == | === Live performances ===
http://dbpedia.org/class/yago/WikicatFootwearAccessories,http://dbpedia.org/resource/Shoelaces,shoelace,109,100,0.9999999997500026,0.0,11,52,== Artistry == | === Live performances ===
