types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Johann_Christian_Bach,JC Bach,397,88,1.0,0.0,1,214,== Works == | === Orchestral works ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Johann_Christian_Bach,JC Bach,397,88,1.0,0.0,1,214,== Works == | === Orchestral works ===
http://dbpedia.org/class/yago/WikicatPeopleFromLeipzig,http://dbpedia.org/resource/Johann_Christian_Bach,JC Bach,397,88,1.0,0.0,1,214,== Works == | === Orchestral works ===
http://dbpedia.org/class/yago/WikicatPeopleFromLondon,http://dbpedia.org/resource/Johann_Christian_Bach,JC Bach,397,88,1.0,0.0,1,214,== Works == | === Orchestral works ===
http://dbpedia.org/class/yago/WikicatClassical-periodComposers,http://dbpedia.org/resource/Johann_Christian_Bach,JC Bach,397,88,1.0,0.0,1,214,== Works == | === Orchestral works ===
http://dbpedia.org/class/yago/WikicatClassicalComposers,http://dbpedia.org/resource/Johann_Christian_Bach,JC Bach,397,88,1.0,0.0,1,214,== Works == | === Orchestral works ===
http://dbpedia.org/class/yago/WikicatConvertsToRomanCatholicismFromLutheranism,http://dbpedia.org/resource/Johann_Christian_Bach,JC Bach,397,88,1.0,0.0,1,214,== Works == | === Orchestral works ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Johann_Christian_Bach,JC Bach,397,88,1.0,0.0,1,214,== Works == | === Orchestral works ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Johann_Christian_Bach,JC Bach,397,88,1.0,0.0,1,214,== Works == | === Orchestral works ===
http://dbpedia.org/class/yago/WikicatPupilsOfJohannSebastianBach,http://dbpedia.org/resource/Johann_Christian_Bach,JC Bach,397,88,1.0,0.0,1,214,== Works == | === Orchestral works ===
http://dbpedia.org/class/yago/Absentee109757653,http://dbpedia.org/resource/Johann_Christian_Bach,JC Bach,397,88,1.0,0.0,1,214,== Works == | === Orchestral works ===
http://dbpedia.org/class/yago/Artist109812338,http://dbpedia.org/resource/Johann_Christian_Bach,JC Bach,397,88,1.0,0.0,1,214,== Works == | === Orchestral works ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Johann_Christian_Bach,JC Bach,397,88,1.0,0.0,1,214,== Works == | === Orchestral works ===
http://dbpedia.org/class/yago/Composer109947232,http://dbpedia.org/resource/Johann_Christian_Bach,JC Bach,397,88,1.0,0.0,1,214,== Works == | === Orchestral works ===
http://dbpedia.org/class/yago/Convert109962414,http://dbpedia.org/resource/Johann_Christian_Bach,JC Bach,397,88,1.0,0.0,1,214,== Works == | === Orchestral works ===
http://dbpedia.org/class/yago/Creator109614315,http://dbpedia.org/resource/Johann_Christian_Bach,JC Bach,397,88,1.0,0.0,1,214,== Works == | === Orchestral works ===
http://dbpedia.org/class/yago/Enrollee110059162,http://dbpedia.org/resource/Johann_Christian_Bach,JC Bach,397,88,1.0,0.0,1,214,== Works == | === Orchestral works ===
http://dbpedia.org/class/yago/Entertainer109616922,http://dbpedia.org/resource/Johann_Christian_Bach,JC Bach,397,88,1.0,0.0,1,214,== Works == | === Orchestral works ===
http://dbpedia.org/class/yago/Exile110071332,http://dbpedia.org/resource/Johann_Christian_Bach,JC Bach,397,88,1.0,0.0,1,214,== Works == | === Orchestral works ===
