types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Bruno_Faidutti,mascarade,27,9,0.9999999173301892,0.0,0,7,== Recordings == | === Solo recitals ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Bruno_Faidutti,mascarade,27,9,0.9999999173301892,0.0,0,7,== Recordings == | === Solo recitals ===
http://dbpedia.org/class/yago/WikicatAtlasGamesPeople,http://dbpedia.org/resource/Bruno_Faidutti,mascarade,27,9,0.9999999173301892,0.0,0,7,== Recordings == | === Solo recitals ===
http://dbpedia.org/class/yago/WikicatBoardGameDesigners,http://dbpedia.org/resource/Bruno_Faidutti,mascarade,27,9,0.9999999173301892,0.0,0,7,== Recordings == | === Solo recitals ===
http://dbpedia.org/class/yago/WikicatChessVariantInventors,http://dbpedia.org/resource/Bruno_Faidutti,mascarade,27,9,0.9999999173301892,0.0,0,7,== Recordings == | === Solo recitals ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Bruno_Faidutti,mascarade,27,9,0.9999999173301892,0.0,0,7,== Recordings == | === Solo recitals ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Bruno_Faidutti,mascarade,27,9,0.9999999173301892,0.0,0,7,== Recordings == | === Solo recitals ===
http://dbpedia.org/class/yago/WikicatLivingPeople,http://dbpedia.org/resource/Bruno_Faidutti,mascarade,27,9,0.9999999173301892,0.0,0,7,== Recordings == | === Solo recitals ===
http://dbpedia.org/class/yago/Artist109812338,http://dbpedia.org/resource/Bruno_Faidutti,mascarade,27,9,0.9999999173301892,0.0,0,7,== Recordings == | === Solo recitals ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Bruno_Faidutti,mascarade,27,9,0.9999999173301892,0.0,0,7,== Recordings == | === Solo recitals ===
http://dbpedia.org/class/yago/Creator109614315,http://dbpedia.org/resource/Bruno_Faidutti,mascarade,27,9,0.9999999173301892,0.0,0,7,== Recordings == | === Solo recitals ===
http://dbpedia.org/class/yago/Expert109617867,http://dbpedia.org/resource/Bruno_Faidutti,mascarade,27,9,0.9999999173301892,0.0,0,7,== Recordings == | === Solo recitals ===
http://dbpedia.org/class/yago/InteriorDesigner110210648,http://dbpedia.org/resource/Bruno_Faidutti,mascarade,27,9,0.9999999173301892,0.0,0,7,== Recordings == | === Solo recitals ===
http://dbpedia.org/class/yago/Inventor110214637,http://dbpedia.org/resource/Bruno_Faidutti,mascarade,27,9,0.9999999173301892,0.0,0,7,== Recordings == | === Solo recitals ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Bruno_Faidutti,mascarade,27,9,0.9999999173301892,0.0,0,7,== Recordings == | === Solo recitals ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Bruno_Faidutti,mascarade,27,9,0.9999999173301892,0.0,0,7,== Recordings == | === Solo recitals ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Bruno_Faidutti,mascarade,27,9,0.9999999173301892,0.0,0,7,== Recordings == | === Solo recitals ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Bruno_Faidutti,mascarade,27,9,0.9999999173301892,0.0,0,7,== Recordings == | === Solo recitals ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Bruno_Faidutti,mascarade,27,9,0.9999999173301892,0.0,0,7,== Recordings == | === Solo recitals ===
http://dbpedia.org/class/yago/Scientist110560637,http://dbpedia.org/resource/Bruno_Faidutti,mascarade,27,9,0.9999999173301892,0.0,0,7,== Recordings == | === Solo recitals ===
http://dbpedia.org/class/yago/SocialScientist110619642,http://dbpedia.org/resource/Bruno_Faidutti,mascarade,27,9,0.9999999173301892,0.0,0,7,== Recordings == | === Solo recitals ===
http://dbpedia.org/class/yago/Sociologist110620758,http://dbpedia.org/resource/Bruno_Faidutti,mascarade,27,9,0.9999999173301892,0.0,0,7,== Recordings == | === Solo recitals ===
http://dbpedia.org/class/yago/Specialist110631941,http://dbpedia.org/resource/Bruno_Faidutti,mascarade,27,9,0.9999999173301892,0.0,0,7,== Recordings == | === Solo recitals ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Bruno_Faidutti,mascarade,27,9,0.9999999173301892,0.0,0,7,== Recordings == | === Solo recitals ===
http://dbpedia.org/class/yago/WikicatFrenchArtists,http://dbpedia.org/resource/Bruno_Faidutti,mascarade,27,9,0.9999999173301892,0.0,0,7,== Recordings == | === Solo recitals ===
http://dbpedia.org/class/yago/WikicatFrenchSociologists,http://dbpedia.org/resource/Bruno_Faidutti,mascarade,27,9,0.9999999173301892,0.0,0,7,== Recordings == | === Solo recitals ===
