types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Chicken_Dance,The tweets,56,0,1.0,0.0,17,45,== Social causes == | === Politics ===
http://dbpedia.org/ontology/Single,http://dbpedia.org/resource/Chicken_Dance,The tweets,56,0,1.0,0.0,17,45,== Social causes == | === Politics ===
http://dbpedia.org/class/yago/WikicatBritishPopSongs,http://dbpedia.org/resource/Chicken_Dance,The tweets,56,0,1.0,0.0,17,45,== Social causes == | === Politics ===
http://dbpedia.org/class/yago/WikicatLineDances,http://dbpedia.org/resource/Chicken_Dance,The tweets,56,0,1.0,0.0,17,45,== Social causes == | === Politics ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Chicken_Dance,The tweets,56,0,1.0,0.0,17,45,== Social causes == | === Politics ===
http://dbpedia.org/class/yago/Art102743547,http://dbpedia.org/resource/Chicken_Dance,The tweets,56,0,1.0,0.0,17,45,== Social causes == | === Politics ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Chicken_Dance,The tweets,56,0,1.0,0.0,17,45,== Social causes == | === Politics ===
http://dbpedia.org/class/yago/AuditoryCommunication107109019,http://dbpedia.org/resource/Chicken_Dance,The tweets,56,0,1.0,0.0,17,45,== Social causes == | === Politics ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Chicken_Dance,The tweets,56,0,1.0,0.0,17,45,== Social causes == | === Politics ===
http://dbpedia.org/class/yago/Creation103129123,http://dbpedia.org/resource/Chicken_Dance,The tweets,56,0,1.0,0.0,17,45,== Social causes == | === Politics ===
http://dbpedia.org/class/yago/Dance107020538,http://dbpedia.org/resource/Chicken_Dance,The tweets,56,0,1.0,0.0,17,45,== Social causes == | === Politics ===
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/Chicken_Dance,The tweets,56,0,1.0,0.0,17,45,== Social causes == | === Politics ===
http://dbpedia.org/class/yago/Medium106254669,http://dbpedia.org/resource/Chicken_Dance,The tweets,56,0,1.0,0.0,17,45,== Social causes == | === Politics ===
http://dbpedia.org/class/yago/Music107020895,http://dbpedia.org/resource/Chicken_Dance,The tweets,56,0,1.0,0.0,17,45,== Social causes == | === Politics ===
http://dbpedia.org/class/yago/MusicalComposition107037465,http://dbpedia.org/resource/Chicken_Dance,The tweets,56,0,1.0,0.0,17,45,== Social causes == | === Politics ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Chicken_Dance,The tweets,56,0,1.0,0.0,17,45,== Social causes == | === Politics ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Chicken_Dance,The tweets,56,0,1.0,0.0,17,45,== Social causes == | === Politics ===
http://dbpedia.org/class/yago/Song107048000,http://dbpedia.org/resource/Chicken_Dance,The tweets,56,0,1.0,0.0,17,45,== Social causes == | === Politics ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Chicken_Dance,The tweets,56,0,1.0,0.0,17,45,== Social causes == | === Politics ===
http://dbpedia.org/class/yago/Wikicat1980Singles,http://dbpedia.org/resource/Chicken_Dance,The tweets,56,0,1.0,0.0,17,45,== Social causes == | === Politics ===
http://dbpedia.org/class/yago/Wikicat1981Singles,http://dbpedia.org/resource/Chicken_Dance,The tweets,56,0,1.0,0.0,17,45,== Social causes == | === Politics ===
http://dbpedia.org/class/yago/Wikicat1981Songs,http://dbpedia.org/resource/Chicken_Dance,The tweets,56,0,1.0,0.0,17,45,== Social causes == | === Politics ===
http://dbpedia.org/class/yago/WikicatNoveltySongs,http://dbpedia.org/resource/Chicken_Dance,The tweets,56,0,1.0,0.0,17,45,== Social causes == | === Politics ===
http://dbpedia.org/class/yago/WikicatNumber-oneSinglesInFrance,http://dbpedia.org/resource/Chicken_Dance,The tweets,56,0,1.0,0.0,17,45,== Social causes == | === Politics ===
http://dbpedia.org/class/yago/WikicatNumber-oneSinglesInGermany,http://dbpedia.org/resource/Chicken_Dance,The tweets,56,0,1.0,0.0,17,45,== Social causes == | === Politics ===
