types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Pyrography,pyrography,52,39,0.9999999999970726,0.0,3,9,== Life and career == | === Personal life ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Aztec_calendar,Aztec calendar,178,64,1.0,0.0,3,9,== Life and career == | === Personal life ===
http://dbpedia.org/class/yago/WikicatAztecCalendars,http://dbpedia.org/resource/Aztec_calendar,Aztec calendar,178,64,1.0,0.0,3,9,== Life and career == | === Personal life ===
http://dbpedia.org/class/yago/WikicatCalendars,http://dbpedia.org/resource/Aztec_calendar,Aztec calendar,178,64,1.0,0.0,3,9,== Life and career == | === Personal life ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Aztec_calendar,Aztec calendar,178,64,1.0,0.0,3,9,== Life and career == | === Personal life ===
http://dbpedia.org/class/yago/Arrangement105726596,http://dbpedia.org/resource/Aztec_calendar,Aztec calendar,178,64,1.0,0.0,3,9,== Life and career == | === Personal life ===
http://dbpedia.org/class/yago/Calendar115173479,http://dbpedia.org/resource/Aztec_calendar,Aztec calendar,178,64,1.0,0.0,3,9,== Life and career == | === Personal life ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Aztec_calendar,Aztec calendar,178,64,1.0,0.0,3,9,== Life and career == | === Personal life ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Aztec_calendar,Aztec calendar,178,64,1.0,0.0,3,9,== Life and career == | === Personal life ===
http://dbpedia.org/class/yago/Structure105726345,http://dbpedia.org/resource/Aztec_calendar,Aztec calendar,178,64,1.0,0.0,3,9,== Life and career == | === Personal life ===
http://dbpedia.org/class/yago/WikicatObsoleteCalendars,http://dbpedia.org/resource/Aztec_calendar,Aztec calendar,178,64,1.0,0.0,3,9,== Life and career == | === Personal life ===
http://dbpedia.org/class/yago/WikicatSpecificCalendars,http://dbpedia.org/resource/Aztec_calendar,Aztec calendar,178,64,1.0,0.0,3,9,== Life and career == | === Personal life ===
