types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Millennium_Development_Goals,Millennium Development Goals,1234,127,1.0,0.0,2,45,== Other work == | === Humanitarianism ===
http://dbpedia.org/class/yago/WikicatCommercialTreaties,http://dbpedia.org/resource/Millennium_Development_Goals,Millennium Development Goals,1234,127,1.0,0.0,2,45,== Other work == | === Humanitarianism ===
http://dbpedia.org/class/yago/WikicatEconomicIndicators,http://dbpedia.org/resource/Millennium_Development_Goals,Millennium Development Goals,1234,127,1.0,0.0,2,45,== Other work == | === Humanitarianism ===
http://dbpedia.org/class/yago/Writing106362953,http://dbpedia.org/resource/Millennium_Development_Goals,Millennium Development Goals,1234,127,1.0,0.0,2,45,== Other work == | === Humanitarianism ===
http://dbpedia.org/class/yago/WrittenAgreement106771653,http://dbpedia.org/resource/Millennium_Development_Goals,Millennium Development Goals,1234,127,1.0,0.0,2,45,== Other work == | === Humanitarianism ===
http://dbpedia.org/class/yago/WrittenCommunication106349220,http://dbpedia.org/resource/Millennium_Development_Goals,Millennium Development Goals,1234,127,1.0,0.0,2,45,== Other work == | === Humanitarianism ===
http://dbpedia.org/class/yago/WikicatMillenniumDevelopmentGoals,http://dbpedia.org/resource/Millennium_Development_Goals,Millennium Development Goals,1234,127,1.0,0.0,2,45,== Other work == | === Humanitarianism ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Millennium_Development_Goals,Millennium Development Goals,1234,127,1.0,0.0,2,45,== Other work == | === Humanitarianism ===
http://dbpedia.org/class/yago/Agreement106770275,http://dbpedia.org/resource/Millennium_Development_Goals,Millennium Development Goals,1234,127,1.0,0.0,2,45,== Other work == | === Humanitarianism ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Millennium_Development_Goals,Millennium Development Goals,1234,127,1.0,0.0,2,45,== Other work == | === Humanitarianism ===
http://dbpedia.org/class/yago/CommercialTreaty106773857,http://dbpedia.org/resource/Millennium_Development_Goals,Millennium Development Goals,1234,127,1.0,0.0,2,45,== Other work == | === Humanitarianism ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Millennium_Development_Goals,Millennium Development Goals,1234,127,1.0,0.0,2,45,== Other work == | === Humanitarianism ===
http://dbpedia.org/class/yago/Content105809192,http://dbpedia.org/resource/Millennium_Development_Goals,Millennium Development Goals,1234,127,1.0,0.0,2,45,== Other work == | === Humanitarianism ===
http://dbpedia.org/class/yago/Document106470073,http://dbpedia.org/resource/Millennium_Development_Goals,Millennium Development Goals,1234,127,1.0,0.0,2,45,== Other work == | === Humanitarianism ===
http://dbpedia.org/class/yago/Fact106636259,http://dbpedia.org/resource/Millennium_Development_Goals,Millennium Development Goals,1234,127,1.0,0.0,2,45,== Other work == | === Humanitarianism ===
http://dbpedia.org/class/yago/Goal105980875,http://dbpedia.org/resource/Millennium_Development_Goals,Millennium Development Goals,1234,127,1.0,0.0,2,45,== Other work == | === Humanitarianism ===
http://dbpedia.org/class/yago/Index106639674,http://dbpedia.org/resource/Millennium_Development_Goals,Millennium Development Goals,1234,127,1.0,0.0,2,45,== Other work == | === Humanitarianism ===
http://dbpedia.org/class/yago/Information106634376,http://dbpedia.org/resource/Millennium_Development_Goals,Millennium Development Goals,1234,127,1.0,0.0,2,45,== Other work == | === Humanitarianism ===
http://dbpedia.org/class/yago/LegalDocument106479665,http://dbpedia.org/resource/Millennium_Development_Goals,Millennium Development Goals,1234,127,1.0,0.0,2,45,== Other work == | === Humanitarianism ===
http://dbpedia.org/class/yago/Message106598915,http://dbpedia.org/resource/Millennium_Development_Goals,Millennium Development Goals,1234,127,1.0,0.0,2,45,== Other work == | === Humanitarianism ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Millennium_Development_Goals,Millennium Development Goals,1234,127,1.0,0.0,2,45,== Other work == | === Humanitarianism ===
http://dbpedia.org/class/yago/Statement106722453,http://dbpedia.org/resource/Millennium_Development_Goals,Millennium Development Goals,1234,127,1.0,0.0,2,45,== Other work == | === Humanitarianism ===
http://dbpedia.org/class/yago/Treaty106773434,http://dbpedia.org/resource/Millennium_Development_Goals,Millennium Development Goals,1234,127,1.0,0.0,2,45,== Other work == | === Humanitarianism ===
