types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatProductsIntroducedIn1990,http://dbpedia.org/resource/ToolBook,Toolbook,8,61,0.9999999999999858,0.0,0,7,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/ToolBook,Toolbook,8,61,0.9999999999999858,0.0,0,7,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Commodity103076708,http://dbpedia.org/resource/ToolBook,Toolbook,8,61,0.9999999999999858,0.0,0,7,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Merchandise103748886,http://dbpedia.org/resource/ToolBook,Toolbook,8,61,0.9999999999999858,0.0,0,7,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/ToolBook,Toolbook,8,61,0.9999999999999858,0.0,0,7,== Discography == | === Albums ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/ToolBook,Toolbook,8,61,0.9999999999999858,0.0,0,7,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/ToolBook,Toolbook,8,61,0.9999999999999858,0.0,0,7,== Discography == | === Albums ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Optical_rotation,Levo,466,42,0.9999979497915474,1.65991183643361e-06,0,61,== Discography == | === Singles ===
http://dbpedia.org/class/yago/BodyPart105220461,http://dbpedia.org/resource/Optical_rotation,Levo,466,42,0.9999979497915474,1.65991183643361e-06,0,61,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Eye105311054,http://dbpedia.org/resource/Optical_rotation,Levo,466,42,0.9999979497915474,1.65991183643361e-06,0,61,== Discography == | === Singles ===
http://dbpedia.org/class/yago/NaturalPhenomenon111408559,http://dbpedia.org/resource/Optical_rotation,Levo,466,42,0.9999979497915474,1.65991183643361e-06,0,61,== Discography == | === Singles ===
http://dbpedia.org/class/yago/OpticalPhenomenon111490638,http://dbpedia.org/resource/Optical_rotation,Levo,466,42,0.9999979497915474,1.65991183643361e-06,0,61,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Organ105297523,http://dbpedia.org/resource/Optical_rotation,Levo,466,42,0.9999979497915474,1.65991183643361e-06,0,61,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Part109385911,http://dbpedia.org/resource/Optical_rotation,Levo,466,42,0.9999979497915474,1.65991183643361e-06,0,61,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Phenomenon100034213,http://dbpedia.org/resource/Optical_rotation,Levo,466,42,0.9999979497915474,1.65991183643361e-06,0,61,== Discography == | === Singles ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Optical_rotation,Levo,466,42,0.9999979497915474,1.65991183643361e-06,0,61,== Discography == | === Singles ===
http://dbpedia.org/class/yago/PhysicalPhenomenon111419404,http://dbpedia.org/resource/Optical_rotation,Levo,466,42,0.9999979497915474,1.65991183643361e-06,0,61,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Process100029677,http://dbpedia.org/resource/Optical_rotation,Levo,466,42,0.9999979497915474,1.65991183643361e-06,0,61,== Discography == | === Singles ===
http://dbpedia.org/class/yago/SenseOrgan105299178,http://dbpedia.org/resource/Optical_rotation,Levo,466,42,0.9999979497915474,1.65991183643361e-06,0,61,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Thing100002452,http://dbpedia.org/resource/Optical_rotation,Levo,466,42,0.9999979497915474,1.65991183643361e-06,0,61,== Discography == | === Singles ===
http://dbpedia.org/class/yago/WikicatOpticalPhenomena,http://dbpedia.org/resource/Optical_rotation,Levo,466,42,0.9999979497915474,1.65991183643361e-06,0,61,== Discography == | === Singles ===
http://dbpedia.org/class/yago/WikicatOptics,http://dbpedia.org/resource/Optical_rotation,Levo,466,42,0.9999979497915474,1.65991183643361e-06,0,61,== Discography == | === Singles ===
