types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/River,http://dbpedia.org/resource/Wabe_River,Wabe,15,18,0.9999896780734708,7.532487612410946e-06,1,22,== Discography == | === Albums ===
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Wabe_River,Wabe,15,18,0.9999896780734708,7.532487612410946e-06,1,22,== Discography == | === Albums ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Wabe_River,Wabe,15,18,0.9999896780734708,7.532487612410946e-06,1,22,== Discography == | === Albums ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Wabe_River,Wabe,15,18,0.9999896780734708,7.532487612410946e-06,1,22,== Discography == | === Albums ===
http://dbpedia.org/class/yago/WikicatRiversOfEthiopia,http://dbpedia.org/resource/Wabe_River,Wabe,15,18,0.9999896780734708,7.532487612410946e-06,1,22,== Discography == | === Albums ===
http://dbpedia.org/class/yago/BodyOfWater109225146,http://dbpedia.org/resource/Wabe_River,Wabe,15,18,0.9999896780734708,7.532487612410946e-06,1,22,== Discography == | === Albums ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Wabe_River,Wabe,15,18,0.9999896780734708,7.532487612410946e-06,1,22,== Discography == | === Albums ===
http://dbpedia.org/class/yago/River109411430,http://dbpedia.org/resource/Wabe_River,Wabe,15,18,0.9999896780734708,7.532487612410946e-06,1,22,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Stream109448361,http://dbpedia.org/resource/Wabe_River,Wabe,15,18,0.9999896780734708,7.532487612410946e-06,1,22,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Thing100002452,http://dbpedia.org/resource/Wabe_River,Wabe,15,18,0.9999896780734708,7.532487612410946e-06,1,22,== Discography == | === Albums ===
http://dbpedia.org/ontology/Colour,http://dbpedia.org/resource/Psychodrome,Psychodrome,3,19,0.7523396668447232,0.0,1,36,== Discography == | === Singles ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/White_dwarf,DB,2012,52,0.4814155897816482,0.5544077115677253,0,38,== Discography == | === Singles ===
http://dbpedia.org/ontology/Place,http://dbpedia.org/resource/White_dwarf,DB,2012,52,0.4814155897816482,0.5544077115677253,0,38,== Discography == | === Singles ===
