types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Vive_la_rose,Vive la rose,8,6,1.0,0.0,0,18,== Discography == | === Albums ===
http://dbpedia.org/ontology/Single,http://dbpedia.org/resource/Vive_la_rose,Vive la rose,8,6,1.0,0.0,0,18,== Discography == | === Albums ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Vive_la_rose,Vive la rose,8,6,1.0,0.0,0,18,== Discography == | === Albums ===
http://dbpedia.org/class/yago/WikicatNanaMouskouriSongs,http://dbpedia.org/resource/Vive_la_rose,Vive la rose,8,6,1.0,0.0,0,18,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Vive_la_rose,Vive la rose,8,6,1.0,0.0,0,18,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Vive_la_rose,Vive la rose,8,6,1.0,0.0,0,18,== Discography == | === Albums ===
http://dbpedia.org/class/yago/AuditoryCommunication107109019,http://dbpedia.org/resource/Vive_la_rose,Vive la rose,8,6,1.0,0.0,0,18,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Vive_la_rose,Vive la rose,8,6,1.0,0.0,0,18,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Creation103129123,http://dbpedia.org/resource/Vive_la_rose,Vive la rose,8,6,1.0,0.0,0,18,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Vive_la_rose,Vive la rose,8,6,1.0,0.0,0,18,== Discography == | === Albums ===
http://dbpedia.org/class/yago/ExpressiveStyle107066659,http://dbpedia.org/resource/Vive_la_rose,Vive la rose,8,6,1.0,0.0,0,18,== Discography == | === Albums ===
http://dbpedia.org/class/yago/FolkMusic107060167,http://dbpedia.org/resource/Vive_la_rose,Vive la rose,8,6,1.0,0.0,0,18,== Discography == | === Albums ===
http://dbpedia.org/class/yago/FolkSong107050952,http://dbpedia.org/resource/Vive_la_rose,Vive la rose,8,6,1.0,0.0,0,18,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Movie106613686,http://dbpedia.org/resource/Vive_la_rose,Vive la rose,8,6,1.0,0.0,0,18,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Music107020895,http://dbpedia.org/resource/Vive_la_rose,Vive la rose,8,6,1.0,0.0,0,18,== Discography == | === Albums ===
http://dbpedia.org/class/yago/MusicGenre107071942,http://dbpedia.org/resource/Vive_la_rose,Vive la rose,8,6,1.0,0.0,0,18,== Discography == | === Albums ===
