types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatProtestantChurches,http://dbpedia.org/resource/Chapel_of_ease,chapel,1559,74,0.9233964979863803,0.0829454174164893,4,8,== Biography == | === Early years ===
http://dbpedia.org/ontology/Building,http://dbpedia.org/resource/Chapel_of_ease,chapel,1559,74,0.9233964979863803,0.0829454174164893,4,8,== Biography == | === Early years ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Chapel_of_ease,chapel,1559,74,0.9233964979863803,0.0829454174164893,4,8,== Biography == | === Early years ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Chapel_of_ease,chapel,1559,74,0.9233964979863803,0.0829454174164893,4,8,== Biography == | === Early years ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Chapel_of_ease,chapel,1559,74,0.9233964979863803,0.0829454174164893,4,8,== Biography == | === Early years ===
http://dbpedia.org/class/yago/Building102913152,http://dbpedia.org/resource/Chapel_of_ease,chapel,1559,74,0.9233964979863803,0.0829454174164893,4,8,== Biography == | === Early years ===
http://dbpedia.org/class/yago/Church103028079,http://dbpedia.org/resource/Chapel_of_ease,chapel,1559,74,0.9233964979863803,0.0829454174164893,4,8,== Biography == | === Early years ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Chapel_of_ease,chapel,1559,74,0.9233964979863803,0.0829454174164893,4,8,== Biography == | === Early years ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Chapel_of_ease,chapel,1559,74,0.9233964979863803,0.0829454174164893,4,8,== Biography == | === Early years ===
http://dbpedia.org/class/yago/PlaceOfWorship103953416,http://dbpedia.org/resource/Chapel_of_ease,chapel,1559,74,0.9233964979863803,0.0829454174164893,4,8,== Biography == | === Early years ===
http://dbpedia.org/class/yago/Structure104341686,http://dbpedia.org/resource/Chapel_of_ease,chapel,1559,74,0.9233964979863803,0.0829454174164893,4,8,== Biography == | === Early years ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Chapel_of_ease,chapel,1559,74,0.9233964979863803,0.0829454174164893,4,8,== Biography == | === Early years ===
