types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Romanian_Orthodox_Church,Romanian Orthodox Church,1971,191,1.0,0.0,27,15,== Biography == | === Final years ===
http://dbpedia.org/ontology/Pope,http://dbpedia.org/resource/Romanian_Orthodox_Church,Romanian Orthodox Church,1971,191,1.0,0.0,27,15,== Biography == | === Final years ===
http://dbpedia.org/ontology/Building,http://dbpedia.org/resource/Romanian_Orthodox_Church,Romanian Orthodox Church,1971,191,1.0,0.0,27,15,== Biography == | === Final years ===
http://dbpedia.org/class/yago/WikicatChristianDenominationsEstablishedInThe19thCentury,http://dbpedia.org/resource/Romanian_Orthodox_Church,Romanian Orthodox Church,1971,191,1.0,0.0,27,15,== Biography == | === Final years ===
http://dbpedia.org/class/yago/WikicatEasternOrthodoxOrganizationsEstablishedInThe19thCentury,http://dbpedia.org/resource/Romanian_Orthodox_Church,Romanian Orthodox Church,1971,191,1.0,0.0,27,15,== Biography == | === Final years ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Romanian_Orthodox_Church,Romanian Orthodox Church,1971,191,1.0,0.0,27,15,== Biography == | === Final years ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Romanian_Orthodox_Church,Romanian Orthodox Church,1971,191,1.0,0.0,27,15,== Biography == | === Final years ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Romanian_Orthodox_Church,Romanian Orthodox Church,1971,191,1.0,0.0,27,15,== Biography == | === Final years ===
http://dbpedia.org/class/yago/WikicatReligiousOrganizationsEstablishedIn1872,http://dbpedia.org/resource/Romanian_Orthodox_Church,Romanian Orthodox Church,1971,191,1.0,0.0,27,15,== Biography == | === Final years ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Romanian_Orthodox_Church,Romanian Orthodox Church,1971,191,1.0,0.0,27,15,== Biography == | === Final years ===
http://dbpedia.org/class/yago/Denomination108146782,http://dbpedia.org/resource/Romanian_Orthodox_Church,Romanian Orthodox Church,1971,191,1.0,0.0,27,15,== Biography == | === Final years ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Romanian_Orthodox_Church,Romanian Orthodox Church,1971,191,1.0,0.0,27,15,== Biography == | === Final years ===
http://dbpedia.org/class/yago/NongovernmentalOrganization108009834,http://dbpedia.org/resource/Romanian_Orthodox_Church,Romanian Orthodox Church,1971,191,1.0,0.0,27,15,== Biography == | === Final years ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Romanian_Orthodox_Church,Romanian Orthodox Church,1971,191,1.0,0.0,27,15,== Biography == | === Final years ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Romanian_Orthodox_Church,Romanian Orthodox Church,1971,191,1.0,0.0,27,15,== Biography == | === Final years ===
http://dbpedia.org/class/yago/WikicatOrganizationsBasedInRomania,http://dbpedia.org/resource/Romanian_Orthodox_Church,Romanian Orthodox Church,1971,191,1.0,0.0,27,15,== Biography == | === Final years ===
