types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Adam_lay_ybounden,Adam lay Ybounden,14,0,1.0,0.0,0,137,== Selected works == | === Choral ===
http://dbpedia.org/ontology/Book,http://dbpedia.org/resource/Adam_lay_ybounden,Adam lay Ybounden,14,0,1.0,0.0,0,137,== Selected works == | === Choral ===
http://dbpedia.org/class/yago/WikicatBritishPoems,http://dbpedia.org/resource/Adam_lay_ybounden,Adam lay Ybounden,14,0,1.0,0.0,0,137,== Selected works == | === Choral ===
http://dbpedia.org/class/yago/WikicatChristianHymns,http://dbpedia.org/resource/Adam_lay_ybounden,Adam lay Ybounden,14,0,1.0,0.0,0,137,== Selected works == | === Choral ===
http://dbpedia.org/class/yago/WikicatChristmasCarols,http://dbpedia.org/resource/Adam_lay_ybounden,Adam lay Ybounden,14,0,1.0,0.0,0,137,== Selected works == | === Choral ===
http://dbpedia.org/class/yago/Writing106362953,http://dbpedia.org/resource/Adam_lay_ybounden,Adam lay Ybounden,14,0,1.0,0.0,0,137,== Selected works == | === Choral ===
http://dbpedia.org/class/yago/WrittenCommunication106349220,http://dbpedia.org/resource/Adam_lay_ybounden,Adam lay Ybounden,14,0,1.0,0.0,0,137,== Selected works == | === Choral ===
http://dbpedia.org/class/yago/WikicatMiddleEnglishPoems,http://dbpedia.org/resource/Adam_lay_ybounden,Adam lay Ybounden,14,0,1.0,0.0,0,137,== Selected works == | === Choral ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Adam_lay_ybounden,Adam lay Ybounden,14,0,1.0,0.0,0,137,== Selected works == | === Choral ===
http://dbpedia.org/class/yago/AuditoryCommunication107109019,http://dbpedia.org/resource/Adam_lay_ybounden,Adam lay Ybounden,14,0,1.0,0.0,0,137,== Selected works == | === Choral ===
http://dbpedia.org/class/yago/Carol107035747,http://dbpedia.org/resource/Adam_lay_ybounden,Adam lay Ybounden,14,0,1.0,0.0,0,137,== Selected works == | === Choral ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Adam_lay_ybounden,Adam lay Ybounden,14,0,1.0,0.0,0,137,== Selected works == | === Choral ===
http://dbpedia.org/class/yago/ExpressiveStyle107066659,http://dbpedia.org/resource/Adam_lay_ybounden,Adam lay Ybounden,14,0,1.0,0.0,0,137,== Selected works == | === Choral ===
http://dbpedia.org/class/yago/Hymn107035870,http://dbpedia.org/resource/Adam_lay_ybounden,Adam lay Ybounden,14,0,1.0,0.0,0,137,== Selected works == | === Choral ===
http://dbpedia.org/class/yago/LiteraryComposition106364329,http://dbpedia.org/resource/Adam_lay_ybounden,Adam lay Ybounden,14,0,1.0,0.0,0,137,== Selected works == | === Choral ===
http://dbpedia.org/class/yago/Music107020895,http://dbpedia.org/resource/Adam_lay_ybounden,Adam lay Ybounden,14,0,1.0,0.0,0,137,== Selected works == | === Choral ===
http://dbpedia.org/class/yago/MusicGenre107071942,http://dbpedia.org/resource/Adam_lay_ybounden,Adam lay Ybounden,14,0,1.0,0.0,0,137,== Selected works == | === Choral ===
http://dbpedia.org/class/yago/MusicalComposition107037465,http://dbpedia.org/resource/Adam_lay_ybounden,Adam lay Ybounden,14,0,1.0,0.0,0,137,== Selected works == | === Choral ===
http://dbpedia.org/class/yago/Poem106377442,http://dbpedia.org/resource/Adam_lay_ybounden,Adam lay Ybounden,14,0,1.0,0.0,0,137,== Selected works == | === Choral ===
http://dbpedia.org/class/yago/ReligiousMusic107033007,http://dbpedia.org/resource/Adam_lay_ybounden,Adam lay Ybounden,14,0,1.0,0.0,0,137,== Selected works == | === Choral ===
http://dbpedia.org/class/yago/ReligiousSong107035420,http://dbpedia.org/resource/Adam_lay_ybounden,Adam lay Ybounden,14,0,1.0,0.0,0,137,== Selected works == | === Choral ===
http://dbpedia.org/class/yago/Song107048000,http://dbpedia.org/resource/Adam_lay_ybounden,Adam lay Ybounden,14,0,1.0,0.0,0,137,== Selected works == | === Choral ===
http://dbpedia.org/class/yago/Wikicat15th-centuryPoems,http://dbpedia.org/resource/Adam_lay_ybounden,Adam lay Ybounden,14,0,1.0,0.0,0,137,== Selected works == | === Choral ===
