types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatAlloys,http://dbpedia.org/resource/Speculum_metal,speculum,62,176,0.9999999973879312,2.611724932645242e-09,0,18,== Astronomy == | === Double stars ===
http://dbpedia.org/ontology/ChemicalSubstance,http://dbpedia.org/resource/Speculum_metal,speculum,62,176,0.9999999973879312,2.611724932645242e-09,0,18,== Astronomy == | === Double stars ===
http://dbpedia.org/class/yago/WikicatCopperAlloys,http://dbpedia.org/resource/Speculum_metal,speculum,62,176,0.9999999973879312,2.611724932645242e-09,0,18,== Astronomy == | === Double stars ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Speculum_metal,speculum,62,176,0.9999999973879312,2.611724932645242e-09,0,18,== Astronomy == | === Double stars ===
http://dbpedia.org/class/yago/Alloy114586769,http://dbpedia.org/resource/Speculum_metal,speculum,62,176,0.9999999973879312,2.611724932645242e-09,0,18,== Astronomy == | === Double stars ===
http://dbpedia.org/class/yago/Material114580897,http://dbpedia.org/resource/Speculum_metal,speculum,62,176,0.9999999973879312,2.611724932645242e-09,0,18,== Astronomy == | === Double stars ===
http://dbpedia.org/class/yago/Matter100020827,http://dbpedia.org/resource/Speculum_metal,speculum,62,176,0.9999999973879312,2.611724932645242e-09,0,18,== Astronomy == | === Double stars ===
http://dbpedia.org/class/yago/Mixture114586258,http://dbpedia.org/resource/Speculum_metal,speculum,62,176,0.9999999973879312,2.611724932645242e-09,0,18,== Astronomy == | === Double stars ===
http://dbpedia.org/class/yago/Part113809207,http://dbpedia.org/resource/Speculum_metal,speculum,62,176,0.9999999973879312,2.611724932645242e-09,0,18,== Astronomy == | === Double stars ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Speculum_metal,speculum,62,176,0.9999999973879312,2.611724932645242e-09,0,18,== Astronomy == | === Double stars ===
http://dbpedia.org/class/yago/Relation100031921,http://dbpedia.org/resource/Speculum_metal,speculum,62,176,0.9999999973879312,2.611724932645242e-09,0,18,== Astronomy == | === Double stars ===
http://dbpedia.org/class/yago/Substance100019613,http://dbpedia.org/resource/Speculum_metal,speculum,62,176,0.9999999973879312,2.611724932645242e-09,0,18,== Astronomy == | === Double stars ===
http://dbpedia.org/class/yago/WikicatOpticalMaterials,http://dbpedia.org/resource/Speculum_metal,speculum,62,176,0.9999999973879312,2.611724932645242e-09,0,18,== Astronomy == | === Double stars ===
