types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Violin,1/16-sized,21568,41,1.0,0.0,1,5,== Career == | === Early work ===
http://dbpedia.org/ontology/Agent,http://dbpedia.org/resource/Violin,1/16-sized,21568,41,1.0,0.0,1,5,== Career == | === Early work ===
http://dbpedia.org/ontology/PersonFunction,http://dbpedia.org/resource/Violin,1/16-sized,21568,41,1.0,0.0,1,5,== Career == | === Early work ===
