types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Hellfest_(French_music_festival),Hellfest Summer Open Air,185,38,1.0,0.0,0,19,== Career == | === Post-Gorgoroth (2008–present) ===
http://dbpedia.org/class/yago/Measure100033615,http://dbpedia.org/resource/Hellfest_(French_music_festival),Hellfest Summer Open Air,185,38,1.0,0.0,0,19,== Career == | === Post-Gorgoroth (2008–present) ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Hellfest_(French_music_festival),Hellfest Summer Open Air,185,38,1.0,0.0,0,19,== Career == | === Post-Gorgoroth (2008–present) ===
http://dbpedia.org/class/yago/Festival115162388,http://dbpedia.org/resource/Hellfest_(French_music_festival),Hellfest Summer Open Air,185,38,1.0,0.0,0,19,== Career == | === Post-Gorgoroth (2008–present) ===
http://dbpedia.org/class/yago/FundamentalQuantity113575869,http://dbpedia.org/resource/Hellfest_(French_music_festival),Hellfest Summer Open Air,185,38,1.0,0.0,0,19,== Career == | === Post-Gorgoroth (2008–present) ===
http://dbpedia.org/class/yago/WikicatHeavyMetalFestivals,http://dbpedia.org/resource/Hellfest_(French_music_festival),Hellfest Summer Open Air,185,38,1.0,0.0,0,19,== Career == | === Post-Gorgoroth (2008–present) ===
http://dbpedia.org/class/yago/WikicatHeavyMetalFestivalsInFrance,http://dbpedia.org/resource/Hellfest_(French_music_festival),Hellfest Summer Open Air,185,38,1.0,0.0,0,19,== Career == | === Post-Gorgoroth (2008–present) ===
http://umbel.org/umbel/rc/Event,http://dbpedia.org/resource/Hellfest_(French_music_festival),Hellfest Summer Open Air,185,38,1.0,0.0,0,19,== Career == | === Post-Gorgoroth (2008–present) ===
http://umbel.org/umbel/rc/Festival,http://dbpedia.org/resource/Hellfest_(French_music_festival),Hellfest Summer Open Air,185,38,1.0,0.0,0,19,== Career == | === Post-Gorgoroth (2008–present) ===
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Hellfest_(French_music_festival),Hellfest Summer Open Air,185,38,1.0,0.0,0,19,== Career == | === Post-Gorgoroth (2008–present) ===
http://dbpedia.org/class/yago/WikicatMusicFestivals,http://dbpedia.org/resource/Hellfest_(French_music_festival),Hellfest Summer Open Air,185,38,1.0,0.0,0,19,== Career == | === Post-Gorgoroth (2008–present) ===
http://dbpedia.org/class/yago/WikicatMusicFestivalsInFrance,http://dbpedia.org/resource/Hellfest_(French_music_festival),Hellfest Summer Open Air,185,38,1.0,0.0,0,19,== Career == | === Post-Gorgoroth (2008–present) ===
http://dbpedia.org/class/yago/TimePeriod115113229,http://dbpedia.org/resource/Hellfest_(French_music_festival),Hellfest Summer Open Air,185,38,1.0,0.0,0,19,== Career == | === Post-Gorgoroth (2008–present) ===
http://dbpedia.org/ontology/SocietalEvent,http://dbpedia.org/resource/Hellfest_(French_music_festival),Hellfest Summer Open Air,185,38,1.0,0.0,0,19,== Career == | === Post-Gorgoroth (2008–present) ===
http://dbpedia.org/class/yago/WikicatRockFestivals,http://dbpedia.org/resource/Hellfest_(French_music_festival),Hellfest Summer Open Air,185,38,1.0,0.0,0,19,== Career == | === Post-Gorgoroth (2008–present) ===
http://dbpedia.org/class/yago/WikicatPunkRockFestivals,http://dbpedia.org/resource/Hellfest_(French_music_festival),Hellfest Summer Open Air,185,38,1.0,0.0,0,19,== Career == | === Post-Gorgoroth (2008–present) ===
