types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Holy_cow_(expression),Holy cow,14,52,0.9999823909744808,0.0,4,20,== Biography == | === 2000s ===
http://dbpedia.org/class/yago/AuditoryCommunication107109019,http://dbpedia.org/resource/Holy_cow_(expression),Holy cow,14,52,0.9999823909744808,0.0,4,20,== Biography == | === 2000s ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Holy_cow_(expression),Holy cow,14,52,0.9999823909744808,0.0,4,20,== Biography == | === 2000s ===
http://dbpedia.org/class/yago/Euphemism106605046,http://dbpedia.org/resource/Holy_cow_(expression),Holy cow,14,52,0.9999823909744808,0.0,4,20,== Biography == | === 2000s ===
http://dbpedia.org/class/yago/ExpressiveStyle107066659,http://dbpedia.org/resource/Holy_cow_(expression),Holy cow,14,52,0.9999823909744808,0.0,4,20,== Biography == | === 2000s ===
http://dbpedia.org/class/yago/Formulation107069948,http://dbpedia.org/resource/Holy_cow_(expression),Holy cow,14,52,0.9999823909744808,0.0,4,20,== Biography == | === 2000s ===
http://dbpedia.org/class/yago/Parlance107081177,http://dbpedia.org/resource/Holy_cow_(expression),Holy cow,14,52,0.9999823909744808,0.0,4,20,== Biography == | === 2000s ===
http://dbpedia.org/class/yago/Saying107151380,http://dbpedia.org/resource/Holy_cow_(expression),Holy cow,14,52,0.9999823909744808,0.0,4,20,== Biography == | === 2000s ===
http://dbpedia.org/class/yago/Speech107109196,http://dbpedia.org/resource/Holy_cow_(expression),Holy cow,14,52,0.9999823909744808,0.0,4,20,== Biography == | === 2000s ===
http://dbpedia.org/class/yago/WikicatEnglishIdioms,http://dbpedia.org/resource/Holy_cow_(expression),Holy cow,14,52,0.9999823909744808,0.0,4,20,== Biography == | === 2000s ===
http://dbpedia.org/class/yago/WikicatEuphemisms,http://dbpedia.org/resource/Holy_cow_(expression),Holy cow,14,52,0.9999823909744808,0.0,4,20,== Biography == | === 2000s ===
