types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Venue,http://dbpedia.org/resource/National_Theatre_Connections,National Theatre Connections,19,147,1.0,0.0,13,8,== Career == | === Composer ===
http://dbpedia.org/class/yago/WikicatYouthTheatreCompanies,http://dbpedia.org/resource/National_Theatre_Connections,National Theatre Connections,19,147,1.0,0.0,13,8,== Career == | === Composer ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/National_Theatre_Connections,National Theatre Connections,19,147,1.0,0.0,13,8,== Career == | === Composer ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/National_Theatre_Connections,National Theatre Connections,19,147,1.0,0.0,13,8,== Career == | === Composer ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/National_Theatre_Connections,National Theatre Connections,19,147,1.0,0.0,13,8,== Career == | === Composer ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/National_Theatre_Connections,National Theatre Connections,19,147,1.0,0.0,13,8,== Career == | === Composer ===
http://dbpedia.org/class/yago/Company108058098,http://dbpedia.org/resource/National_Theatre_Connections,National Theatre Connections,19,147,1.0,0.0,13,8,== Career == | === Composer ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/National_Theatre_Connections,National Theatre Connections,19,147,1.0,0.0,13,8,== Career == | === Composer ===
http://dbpedia.org/class/yago/Institution108053576,http://dbpedia.org/resource/National_Theatre_Connections,National Theatre Connections,19,147,1.0,0.0,13,8,== Career == | === Composer ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/National_Theatre_Connections,National Theatre Connections,19,147,1.0,0.0,13,8,== Career == | === Composer ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/National_Theatre_Connections,National Theatre Connections,19,147,1.0,0.0,13,8,== Career == | === Composer ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Nell_Benjamin,Nell Benjamin,34,64,1.0,0.0,16,8,== Career == | === Composer ===
