types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Fox_hunting,fox-hunting,967,112,0.9999999998424016,0.0,3,46,== Music == | === Song cycles ===
http://dbpedia.org/ontology/Disease,http://dbpedia.org/resource/Fox_hunting,fox-hunting,967,112,0.9999999998424016,0.0,3,46,== Music == | === Song cycles ===
http://dbpedia.org/ontology/Sport,http://dbpedia.org/resource/Fox_hunting,fox-hunting,967,112,0.9999999998424016,0.0,3,46,== Music == | === Song cycles ===
