types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatArchaeologicalSitesInBolivia,http://dbpedia.org/resource/Isla_del_Sol,Isla del Sol,41,7,0.9999999995808508,4.19151911395997e-10,0,7,== Discography == | === Studio albums ===
http://dbpedia.org/ontology/Island,http://dbpedia.org/resource/Isla_del_Sol,Isla del Sol,41,7,0.9999999995808508,4.19151911395997e-10,0,7,== Discography == | === Studio albums ===
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Isla_del_Sol,Isla del Sol,41,7,0.9999999995808508,4.19151911395997e-10,0,7,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/WikicatIslandsOfBolivia,http://dbpedia.org/resource/Isla_del_Sol,Isla del Sol,41,7,0.9999999995808508,4.19151911395997e-10,0,7,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/WikicatIslandsOfLakeTiticaca,http://dbpedia.org/resource/Isla_del_Sol,Isla del Sol,41,7,0.9999999995808508,4.19151911395997e-10,0,7,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/WikicatLakeIslandsOfBolivia,http://dbpedia.org/resource/Isla_del_Sol,Isla del Sol,41,7,0.9999999995808508,4.19151911395997e-10,0,7,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Isla_del_Sol,Isla del Sol,41,7,0.9999999995808508,4.19151911395997e-10,0,7,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Isla_del_Sol,Isla del Sol,41,7,0.9999999995808508,4.19151911395997e-10,0,7,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Isla_del_Sol,Isla del Sol,41,7,0.9999999995808508,4.19151911395997e-10,0,7,== Discography == | === Studio albums ===
http://umbel.org/umbel/rc/Country,http://dbpedia.org/resource/Isla_del_Sol,Isla del Sol,41,7,0.9999999995808508,4.19151911395997e-10,0,7,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/GeographicalArea108574314,http://dbpedia.org/resource/Isla_del_Sol,Isla del Sol,41,7,0.9999999995808508,4.19151911395997e-10,0,7,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/Island109316454,http://dbpedia.org/resource/Isla_del_Sol,Isla del Sol,41,7,0.9999999995808508,4.19151911395997e-10,0,7,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/Land109334396,http://dbpedia.org/resource/Isla_del_Sol,Isla del Sol,41,7,0.9999999995808508,4.19151911395997e-10,0,7,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/Location100027167,http://dbpedia.org/resource/Isla_del_Sol,Isla del Sol,41,7,0.9999999995808508,4.19151911395997e-10,0,7,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Isla_del_Sol,Isla del Sol,41,7,0.9999999995808508,4.19151911395997e-10,0,7,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Isla_del_Sol,Isla del Sol,41,7,0.9999999995808508,4.19151911395997e-10,0,7,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/Region108630985,http://dbpedia.org/resource/Isla_del_Sol,Isla del Sol,41,7,0.9999999995808508,4.19151911395997e-10,0,7,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/Site108651247,http://dbpedia.org/resource/Isla_del_Sol,Isla del Sol,41,7,0.9999999995808508,4.19151911395997e-10,0,7,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/Tract108673395,http://dbpedia.org/resource/Isla_del_Sol,Isla del Sol,41,7,0.9999999995808508,4.19151911395997e-10,0,7,== Discography == | === Studio albums ===
http://dbpedia.org/ontology/Film,http://dbpedia.org/resource/ALEGRA,Alegra,3,7,0.7523396668447232,0.0,0,25,== Discography == | === Studio albums ===
