types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatAmigaGames,http://dbpedia.org/resource/Chessmaster,Chessmaster,76,160,1.0,0.0,4,26,== Biography == | === Later career ===
http://dbpedia.org/class/yago/WikicatAmstradCPCGames,http://dbpedia.org/resource/Chessmaster,Chessmaster,76,160,1.0,0.0,4,26,== Biography == | === Later career ===
http://dbpedia.org/class/yago/WikicatAppleIIGSGames,http://dbpedia.org/resource/Chessmaster,Chessmaster,76,160,1.0,0.0,4,26,== Biography == | === Later career ===
http://dbpedia.org/class/yago/WikicatAppleIIGames,http://dbpedia.org/resource/Chessmaster,Chessmaster,76,160,1.0,0.0,4,26,== Biography == | === Later career ===
http://dbpedia.org/class/yago/WikicatAtariSTGames,http://dbpedia.org/resource/Chessmaster,Chessmaster,76,160,1.0,0.0,4,26,== Biography == | === Later career ===
http://dbpedia.org/class/yago/WikicatPlayStation2Games,http://dbpedia.org/resource/Chessmaster,Chessmaster,76,160,1.0,0.0,4,26,== Biography == | === Later career ===
http://dbpedia.org/class/yago/WikicatPlayStationGames,http://dbpedia.org/resource/Chessmaster,Chessmaster,76,160,1.0,0.0,4,26,== Biography == | === Later career ===
http://dbpedia.org/class/yago/WikicatPlayStationPortableGames,http://dbpedia.org/resource/Chessmaster,Chessmaster,76,160,1.0,0.0,4,26,== Biography == | === Later career ===
http://dbpedia.org/ontology/TelevisionShow,http://dbpedia.org/resource/Chessmaster,Chessmaster,76,160,1.0,0.0,4,26,== Biography == | === Later career ===
http://dbpedia.org/class/yago/WikicatCommodore64Games,http://dbpedia.org/resource/Chessmaster,Chessmaster,76,160,1.0,0.0,4,26,== Biography == | === Later career ===
http://dbpedia.org/class/yago/WikicatDOSGames,http://dbpedia.org/resource/Chessmaster,Chessmaster,76,160,1.0,0.0,4,26,== Biography == | === Later career ===
http://dbpedia.org/class/yago/WikicatWindowsGames,http://dbpedia.org/resource/Chessmaster,Chessmaster,76,160,1.0,0.0,4,26,== Biography == | === Later career ===
http://dbpedia.org/class/yago/WikicatXbox360LiveArcadeGames,http://dbpedia.org/resource/Chessmaster,Chessmaster,76,160,1.0,0.0,4,26,== Biography == | === Later career ===
http://dbpedia.org/class/yago/WikicatXboxGames,http://dbpedia.org/resource/Chessmaster,Chessmaster,76,160,1.0,0.0,4,26,== Biography == | === Later career ===
http://dbpedia.org/class/yago/WikicatZXSpectrumGames,http://dbpedia.org/resource/Chessmaster,Chessmaster,76,160,1.0,0.0,4,26,== Biography == | === Later career ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Chessmaster,Chessmaster,76,160,1.0,0.0,4,26,== Biography == | === Later career ===
