types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Late_Middle_Ages,Late Medieval,1529,120,1.0,0.0,0,63,== Writings == | === Articles ===
http://dbpedia.org/class/yago/Idea105833840,http://dbpedia.org/resource/Late_Middle_Ages,Late Medieval,1529,120,1.0,0.0,0,63,== Writings == | === Articles ===
http://dbpedia.org/class/yago/Indication106797169,http://dbpedia.org/resource/Late_Middle_Ages,Late Medieval,1529,120,1.0,0.0,0,63,== Writings == | === Articles ===
http://dbpedia.org/class/yago/Measure100033615,http://dbpedia.org/resource/Late_Middle_Ages,Late Medieval,1529,120,1.0,0.0,0,63,== Writings == | === Articles ===
http://dbpedia.org/class/yago/MiddleAge115153472,http://dbpedia.org/resource/Late_Middle_Ages,Late Medieval,1529,120,1.0,0.0,0,63,== Writings == | === Articles ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Late_Middle_Ages,Late Medieval,1529,120,1.0,0.0,0,63,== Writings == | === Articles ===
http://dbpedia.org/class/yago/Chronology106503224,http://dbpedia.org/resource/Late_Middle_Ages,Late Medieval,1529,120,1.0,0.0,0,63,== Writings == | === Articles ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Late_Middle_Ages,Late Medieval,1529,120,1.0,0.0,0,63,== Writings == | === Articles ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Late_Middle_Ages,Late Medieval,1529,120,1.0,0.0,0,63,== Writings == | === Articles ===
http://dbpedia.org/class/yago/Concept105835747,http://dbpedia.org/resource/Late_Middle_Ages,Late Medieval,1529,120,1.0,0.0,0,63,== Writings == | === Articles ===
http://dbpedia.org/class/yago/Content105809192,http://dbpedia.org/resource/Late_Middle_Ages,Late Medieval,1529,120,1.0,0.0,0,63,== Writings == | === Articles ===
http://dbpedia.org/class/yago/Evidence106643408,http://dbpedia.org/resource/Late_Middle_Ages,Late Medieval,1529,120,1.0,0.0,0,63,== Writings == | === Articles ===
http://dbpedia.org/class/yago/FundamentalQuantity113575869,http://dbpedia.org/resource/Late_Middle_Ages,Late Medieval,1529,120,1.0,0.0,0,63,== Writings == | === Articles ===
http://dbpedia.org/class/yago/WikicatHighMiddleAges,http://dbpedia.org/resource/Late_Middle_Ages,Late Medieval,1529,120,1.0,0.0,0,63,== Writings == | === Articles ===
http://dbpedia.org/ontology/Country,http://dbpedia.org/resource/Late_Middle_Ages,Late Medieval,1529,120,1.0,0.0,0,63,== Writings == | === Articles ===
http://dbpedia.org/class/yago/WikicatPost-medievalConstructsAboutTheMiddleAges,http://dbpedia.org/resource/Late_Middle_Ages,Late Medieval,1529,120,1.0,0.0,0,63,== Writings == | === Articles ===
http://dbpedia.org/class/yago/WikicatLateMiddleAges,http://dbpedia.org/resource/Late_Middle_Ages,Late Medieval,1529,120,1.0,0.0,0,63,== Writings == | === Articles ===
http://dbpedia.org/class/yago/WikicatMiddleAges,http://dbpedia.org/resource/Late_Middle_Ages,Late Medieval,1529,120,1.0,0.0,0,63,== Writings == | === Articles ===
http://dbpedia.org/class/yago/TimeOfLife115144371,http://dbpedia.org/resource/Late_Middle_Ages,Late Medieval,1529,120,1.0,0.0,0,63,== Writings == | === Articles ===
http://dbpedia.org/class/yago/TimePeriod115113229,http://dbpedia.org/resource/Late_Middle_Ages,Late Medieval,1529,120,1.0,0.0,0,63,== Writings == | === Articles ===
http://dbpedia.org/class/yago/Timeline106504965,http://dbpedia.org/resource/Late_Middle_Ages,Late Medieval,1529,120,1.0,0.0,0,63,== Writings == | === Articles ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Late_Middle_Ages,Late Medieval,1529,120,1.0,0.0,0,63,== Writings == | === Articles ===
http://dbpedia.org/class/yago/Record106647206,http://dbpedia.org/resource/Late_Middle_Ages,Late Medieval,1529,120,1.0,0.0,0,63,== Writings == | === Articles ===
http://dbpedia.org/class/yago/WikicatArticlesWhichContainGraphicalTimelines,http://dbpedia.org/resource/Late_Middle_Ages,Late Medieval,1529,120,1.0,0.0,0,63,== Writings == | === Articles ===
http://dbpedia.org/class/yago/WrittenRecord106502378,http://dbpedia.org/resource/Late_Middle_Ages,Late Medieval,1529,120,1.0,0.0,0,63,== Writings == | === Articles ===
