types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Cante_flamenco,cantaor,136,52,1.0,0.0,4,5,== Biography == | === Career revival ===
http://dbpedia.org/ontology/MusicGenre,http://dbpedia.org/resource/Cante_flamenco,cantaor,136,52,1.0,0.0,4,5,== Biography == | === Career revival ===
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/resource/Cante_flamenco,cantaor,136,52,1.0,0.0,4,5,== Biography == | === Career revival ===
