types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Woolner_Brothers,Woolner Brothers,30,71,1.0,0.0,0,19,== Career == | === 1960–present ===
http://dbpedia.org/ontology/Company,http://dbpedia.org/resource/Woolner_Brothers,Woolner Brothers,30,71,1.0,0.0,0,19,== Career == | === 1960–present ===
http://schema.org/Organization,http://dbpedia.org/resource/Woolner_Brothers,Woolner Brothers,30,71,1.0,0.0,0,19,== Career == | === 1960–present ===
http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent,http://dbpedia.org/resource/Woolner_Brothers,Woolner Brothers,30,71,1.0,0.0,0,19,== Career == | === 1960–present ===
http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#SocialPerson,http://dbpedia.org/resource/Woolner_Brothers,Woolner Brothers,30,71,1.0,0.0,0,19,== Career == | === 1960–present ===
http://dbpedia.org/ontology/Agent,http://dbpedia.org/resource/Woolner_Brothers,Woolner Brothers,30,71,1.0,0.0,0,19,== Career == | === 1960–present ===
http://www.wikidata.org/entity/Q24229398,http://dbpedia.org/resource/Woolner_Brothers,Woolner Brothers,30,71,1.0,0.0,0,19,== Career == | === 1960–present ===
http://www.wikidata.org/entity/Q43229,http://dbpedia.org/resource/Woolner_Brothers,Woolner Brothers,30,71,1.0,0.0,0,19,== Career == | === 1960–present ===
http://www.wikidata.org/entity/Q4830453,http://dbpedia.org/resource/Woolner_Brothers,Woolner Brothers,30,71,1.0,0.0,0,19,== Career == | === 1960–present ===
http://dbpedia.org/ontology/Film,http://dbpedia.org/resource/Woolner_Brothers,Woolner Brothers,30,71,1.0,0.0,0,19,== Career == | === 1960–present ===
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/resource/Woolner_Brothers,Woolner Brothers,30,71,1.0,0.0,0,19,== Career == | === 1960–present ===
