types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/PoliticalParty,http://dbpedia.org/resource/Solid_South,Solid South,464,20,0.9999999992420784,0.0,0,78,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Solid_South,Solid South,464,20,0.9999999992420784,0.0,0,78,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Solid_South,Solid South,464,20,0.9999999992420784,0.0,0,78,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Solid_South,Solid South,464,20,0.9999999992420784,0.0,0,78,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/AdministrativeDistrict108491826,http://dbpedia.org/resource/Solid_South,Solid South,464,20,0.9999999992420784,0.0,0,78,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/District108552138,http://dbpedia.org/resource/Solid_South,Solid South,464,20,0.9999999992420784,0.0,0,78,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/Location100027167,http://dbpedia.org/resource/Solid_South,Solid South,464,20,0.9999999992420784,0.0,0,78,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Solid_South,Solid South,464,20,0.9999999992420784,0.0,0,78,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Solid_South,Solid South,464,20,0.9999999992420784,0.0,0,78,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/Region108630985,http://dbpedia.org/resource/Solid_South,Solid South,464,20,0.9999999992420784,0.0,0,78,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/WikicatSouthernUnitedStates,http://dbpedia.org/resource/Solid_South,Solid South,464,20,0.9999999992420784,0.0,0,78,== Discography == | === As sideman ===
