types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Ship,http://dbpedia.org/resource/Forty-Nine_(steamboat),Forty-nine,11,1,0.9176178860155064,0.0,2,16,== Biography == | === Recent career ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Forty-Nine_(steamboat),Forty-nine,11,1,0.9176178860155064,0.0,2,16,== Biography == | === Recent career ===
http://dbpedia.org/class/yago/Boat102858304,http://dbpedia.org/resource/Forty-Nine_(steamboat),Forty-nine,11,1,0.9176178860155064,0.0,2,16,== Biography == | === Recent career ===
http://dbpedia.org/class/yago/Conveyance103100490,http://dbpedia.org/resource/Forty-Nine_(steamboat),Forty-nine,11,1,0.9176178860155064,0.0,2,16,== Biography == | === Recent career ===
http://dbpedia.org/class/yago/Craft103125870,http://dbpedia.org/resource/Forty-Nine_(steamboat),Forty-nine,11,1,0.9176178860155064,0.0,2,16,== Biography == | === Recent career ===
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/Forty-Nine_(steamboat),Forty-nine,11,1,0.9176178860155064,0.0,2,16,== Biography == | === Recent career ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Forty-Nine_(steamboat),Forty-nine,11,1,0.9176178860155064,0.0,2,16,== Biography == | === Recent career ===
http://dbpedia.org/class/yago/PaddleSteamer103874138,http://dbpedia.org/resource/Forty-Nine_(steamboat),Forty-nine,11,1,0.9176178860155064,0.0,2,16,== Biography == | === Recent career ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Forty-Nine_(steamboat),Forty-nine,11,1,0.9176178860155064,0.0,2,16,== Biography == | === Recent career ===
http://dbpedia.org/class/yago/Ship104194289,http://dbpedia.org/resource/Forty-Nine_(steamboat),Forty-nine,11,1,0.9176178860155064,0.0,2,16,== Biography == | === Recent career ===
http://dbpedia.org/class/yago/Steamboat104308807,http://dbpedia.org/resource/Forty-Nine_(steamboat),Forty-nine,11,1,0.9176178860155064,0.0,2,16,== Biography == | === Recent career ===
http://dbpedia.org/class/yago/Steamer104309348,http://dbpedia.org/resource/Forty-Nine_(steamboat),Forty-nine,11,1,0.9176178860155064,0.0,2,16,== Biography == | === Recent career ===
http://dbpedia.org/class/yago/Vehicle104524313,http://dbpedia.org/resource/Forty-Nine_(steamboat),Forty-nine,11,1,0.9176178860155064,0.0,2,16,== Biography == | === Recent career ===
http://dbpedia.org/class/yago/Vessel104530566,http://dbpedia.org/resource/Forty-Nine_(steamboat),Forty-nine,11,1,0.9176178860155064,0.0,2,16,== Biography == | === Recent career ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Forty-Nine_(steamboat),Forty-nine,11,1,0.9176178860155064,0.0,2,16,== Biography == | === Recent career ===
http://dbpedia.org/class/yago/Wikicat1865Ships,http://dbpedia.org/resource/Forty-Nine_(steamboat),Forty-nine,11,1,0.9176178860155064,0.0,2,16,== Biography == | === Recent career ===
http://dbpedia.org/class/yago/WikicatPaddleSteamersOfBritishColumbia,http://dbpedia.org/resource/Forty-Nine_(steamboat),Forty-nine,11,1,0.9176178860155064,0.0,2,16,== Biography == | === Recent career ===
http://dbpedia.org/class/yago/WikicatSteamboatsOfTheArrowLakes,http://dbpedia.org/resource/Forty-Nine_(steamboat),Forty-nine,11,1,0.9176178860155064,0.0,2,16,== Biography == | === Recent career ===
http://dbpedia.org/class/yago/WikicatSteamboatsOfWashington(state),http://dbpedia.org/resource/Forty-Nine_(steamboat),Forty-nine,11,1,0.9176178860155064,0.0,2,16,== Biography == | === Recent career ===
