types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Henry_Clay_Work,Henry Clay Work,61,194,1.0,0.0,0,9,== Career == | === 2001–2003 ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Henry_Clay_Work,Henry Clay Work,61,194,1.0,0.0,0,9,== Career == | === 2001–2003 ===
http://dbpedia.org/class/yago/WikicatAmericanAbolitionists,http://dbpedia.org/resource/Henry_Clay_Work,Henry Clay Work,61,194,1.0,0.0,0,9,== Career == | === 2001–2003 ===
http://dbpedia.org/class/yago/WikicatAmericanComposers,http://dbpedia.org/resource/Henry_Clay_Work,Henry Clay Work,61,194,1.0,0.0,0,9,== Career == | === 2001–2003 ===
http://dbpedia.org/class/yago/WikicatAmericanLyricists,http://dbpedia.org/resource/Henry_Clay_Work,Henry Clay Work,61,194,1.0,0.0,0,9,== Career == | === 2001–2003 ===
http://dbpedia.org/class/yago/WikicatPeopleOfTheAmericanCivilWar,http://dbpedia.org/resource/Henry_Clay_Work,Henry Clay Work,61,194,1.0,0.0,0,9,== Career == | === 2001–2003 ===
http://dbpedia.org/class/yago/Writer110794014,http://dbpedia.org/resource/Henry_Clay_Work,Henry Clay Work,61,194,1.0,0.0,0,9,== Career == | === 2001–2003 ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Henry_Clay_Work,Henry Clay Work,61,194,1.0,0.0,0,9,== Career == | === 2001–2003 ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Henry_Clay_Work,Henry Clay Work,61,194,1.0,0.0,0,9,== Career == | === 2001–2003 ===
http://dbpedia.org/class/yago/Abolitionist109756637,http://dbpedia.org/resource/Henry_Clay_Work,Henry Clay Work,61,194,1.0,0.0,0,9,== Career == | === 2001–2003 ===
http://dbpedia.org/class/yago/Artist109812338,http://dbpedia.org/resource/Henry_Clay_Work,Henry Clay Work,61,194,1.0,0.0,0,9,== Career == | === 2001–2003 ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Henry_Clay_Work,Henry Clay Work,61,194,1.0,0.0,0,9,== Career == | === 2001–2003 ===
http://dbpedia.org/class/yago/Communicator109610660,http://dbpedia.org/resource/Henry_Clay_Work,Henry Clay Work,61,194,1.0,0.0,0,9,== Career == | === 2001–2003 ===
http://dbpedia.org/class/yago/Composer109947232,http://dbpedia.org/resource/Henry_Clay_Work,Henry Clay Work,61,194,1.0,0.0,0,9,== Career == | === 2001–2003 ===
http://dbpedia.org/class/yago/Creator109614315,http://dbpedia.org/resource/Henry_Clay_Work,Henry Clay Work,61,194,1.0,0.0,0,9,== Career == | === 2001–2003 ===
http://dbpedia.org/class/yago/Disputant109615465,http://dbpedia.org/resource/Henry_Clay_Work,Henry Clay Work,61,194,1.0,0.0,0,9,== Career == | === 2001–2003 ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Henry_Clay_Work,Henry Clay Work,61,194,1.0,0.0,0,9,== Career == | === 2001–2003 ===
http://dbpedia.org/class/yago/Lyricist110277912,http://dbpedia.org/resource/Henry_Clay_Work,Henry Clay Work,61,194,1.0,0.0,0,9,== Career == | === 2001–2003 ===
http://dbpedia.org/class/yago/Musician110339966,http://dbpedia.org/resource/Henry_Clay_Work,Henry Clay Work,61,194,1.0,0.0,0,9,== Career == | === 2001–2003 ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Henry_Clay_Work,Henry Clay Work,61,194,1.0,0.0,0,9,== Career == | === 2001–2003 ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Henry_Clay_Work,Henry Clay Work,61,194,1.0,0.0,0,9,== Career == | === 2001–2003 ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Henry_Clay_Work,Henry Clay Work,61,194,1.0,0.0,0,9,== Career == | === 2001–2003 ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Henry_Clay_Work,Henry Clay Work,61,194,1.0,0.0,0,9,== Career == | === 2001–2003 ===
http://dbpedia.org/class/yago/Reformer110515194,http://dbpedia.org/resource/Henry_Clay_Work,Henry Clay Work,61,194,1.0,0.0,0,9,== Career == | === 2001–2003 ===
http://dbpedia.org/class/yago/Songwriter110624540,http://dbpedia.org/resource/Henry_Clay_Work,Henry Clay Work,61,194,1.0,0.0,0,9,== Career == | === 2001–2003 ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Henry_Clay_Work,Henry Clay Work,61,194,1.0,0.0,0,9,== Career == | === 2001–2003 ===
