types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Tanais,tana,161,4,0.5800655123250377,0.723942753551202,0,8,== Works == | === Operas ===
http://dbpedia.org/class/yago/WikicatAncientGreekCities,http://dbpedia.org/resource/Tanais,tana,161,4,0.5800655123250377,0.723942753551202,0,8,== Works == | === Operas ===
http://dbpedia.org/class/yago/WikicatAncientGreekSitesInRussia,http://dbpedia.org/resource/Tanais,tana,161,4,0.5800655123250377,0.723942753551202,0,8,== Works == | === Operas ===
http://dbpedia.org/class/yago/WikicatArchaeologicalSitesInRussia,http://dbpedia.org/resource/Tanais,tana,161,4,0.5800655123250377,0.723942753551202,0,8,== Works == | === Operas ===
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Tanais,tana,161,4,0.5800655123250377,0.723942753551202,0,8,== Works == | === Operas ===
http://dbpedia.org/class/yago/WikicatKhazarTowns,http://dbpedia.org/resource/Tanais,tana,161,4,0.5800655123250377,0.723942753551202,0,8,== Works == | === Operas ===
http://dbpedia.org/class/yago/WikicatPopulatedPlacesEstablishedInThe3rdCenturyBC,http://dbpedia.org/resource/Tanais,tana,161,4,0.5800655123250377,0.723942753551202,0,8,== Works == | === Operas ===
http://dbpedia.org/ontology/City,http://dbpedia.org/resource/Tanais,tana,161,4,0.5800655123250377,0.723942753551202,0,8,== Works == | === Operas ===
http://dbpedia.org/class/yago/WikicatDefunctTownsInRussia,http://dbpedia.org/resource/Tanais,tana,161,4,0.5800655123250377,0.723942753551202,0,8,== Works == | === Operas ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Tanais,tana,161,4,0.5800655123250377,0.723942753551202,0,8,== Works == | === Operas ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Tanais,tana,161,4,0.5800655123250377,0.723942753551202,0,8,== Works == | === Operas ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Tanais,tana,161,4,0.5800655123250377,0.723942753551202,0,8,== Works == | === Operas ===
http://dbpedia.org/class/yago/WikicatRiversOfRussia,http://dbpedia.org/resource/Tanais,tana,161,4,0.5800655123250377,0.723942753551202,0,8,== Works == | === Operas ===
