types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatAmericanArchitecturalStyles,http://dbpedia.org/resource/Populuxe,Populuxe,17,38,0.999999898597826,0.0,0,22,== Career == | === 1990s ===
http://dbpedia.org/ontology/Magazine,http://dbpedia.org/resource/Populuxe,Populuxe,17,38,0.999999898597826,0.0,0,22,== Career == | === 1990s ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Populuxe,Populuxe,17,38,0.999999898597826,0.0,0,22,== Career == | === 1990s ===
http://dbpedia.org/class/yago/ArchitecturalStyle105841351,http://dbpedia.org/resource/Populuxe,Populuxe,17,38,0.999999898597826,0.0,0,22,== Career == | === 1990s ===
http://dbpedia.org/class/yago/ArtForm105841151,http://dbpedia.org/resource/Populuxe,Populuxe,17,38,0.999999898597826,0.0,0,22,== Career == | === 1990s ===
http://dbpedia.org/class/yago/Category105838765,http://dbpedia.org/resource/Populuxe,Populuxe,17,38,0.999999898597826,0.0,0,22,== Career == | === 1990s ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Populuxe,Populuxe,17,38,0.999999898597826,0.0,0,22,== Career == | === 1990s ===
http://dbpedia.org/class/yago/Concept105835747,http://dbpedia.org/resource/Populuxe,Populuxe,17,38,0.999999898597826,0.0,0,22,== Career == | === 1990s ===
http://dbpedia.org/class/yago/Content105809192,http://dbpedia.org/resource/Populuxe,Populuxe,17,38,0.999999898597826,0.0,0,22,== Career == | === 1990s ===
http://dbpedia.org/class/yago/Idea105833840,http://dbpedia.org/resource/Populuxe,Populuxe,17,38,0.999999898597826,0.0,0,22,== Career == | === 1990s ===
http://dbpedia.org/class/yago/Kind105839024,http://dbpedia.org/resource/Populuxe,Populuxe,17,38,0.999999898597826,0.0,0,22,== Career == | === 1990s ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Populuxe,Populuxe,17,38,0.999999898597826,0.0,0,22,== Career == | === 1990s ===
