types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Number_theory,Number Theory,2979,147,1.0,0.0,8,18,== Biography == | === Göttingen (1855–1859) ===
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/resource/Number_theory,Number Theory,2979,147,1.0,0.0,8,18,== Biography == | === Göttingen (1855–1859) ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Number_theory,Number Theory,2979,147,1.0,0.0,8,18,== Biography == | === Göttingen (1855–1859) ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Number_theory,Number Theory,2979,147,1.0,0.0,8,18,== Biography == | === Göttingen (1855–1859) ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Number_theory,Number Theory,2979,147,1.0,0.0,8,18,== Biography == | === Göttingen (1855–1859) ===
http://dbpedia.org/class/yago/WikicatMathematicalStructures,http://dbpedia.org/resource/Number_theory,Number Theory,2979,147,1.0,0.0,8,18,== Biography == | === Göttingen (1855–1859) ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Number_theory,Number Theory,2979,147,1.0,0.0,8,18,== Biography == | === Göttingen (1855–1859) ===
http://dbpedia.org/class/yago/Field108569998,http://dbpedia.org/resource/Number_theory,Number Theory,2979,147,1.0,0.0,8,18,== Biography == | === Göttingen (1855–1859) ===
http://dbpedia.org/class/yago/GeographicalArea108574314,http://dbpedia.org/resource/Number_theory,Number Theory,2979,147,1.0,0.0,8,18,== Biography == | === Göttingen (1855–1859) ===
http://dbpedia.org/class/yago/Location100027167,http://dbpedia.org/resource/Number_theory,Number Theory,2979,147,1.0,0.0,8,18,== Biography == | === Göttingen (1855–1859) ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Number_theory,Number Theory,2979,147,1.0,0.0,8,18,== Biography == | === Göttingen (1855–1859) ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Number_theory,Number Theory,2979,147,1.0,0.0,8,18,== Biography == | === Göttingen (1855–1859) ===
http://dbpedia.org/class/yago/Region108630985,http://dbpedia.org/resource/Number_theory,Number Theory,2979,147,1.0,0.0,8,18,== Biography == | === Göttingen (1855–1859) ===
http://dbpedia.org/class/yago/Structure104341686,http://dbpedia.org/resource/Number_theory,Number Theory,2979,147,1.0,0.0,8,18,== Biography == | === Göttingen (1855–1859) ===
http://dbpedia.org/class/yago/Tract108673395,http://dbpedia.org/resource/Number_theory,Number Theory,2979,147,1.0,0.0,8,18,== Biography == | === Göttingen (1855–1859) ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Number_theory,Number Theory,2979,147,1.0,0.0,8,18,== Biography == | === Göttingen (1855–1859) ===
http://dbpedia.org/class/yago/WikicatFieldsOfMathematics,http://dbpedia.org/resource/Number_theory,Number Theory,2979,147,1.0,0.0,8,18,== Biography == | === Göttingen (1855–1859) ===
