types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Four_Freedoms_Award,Freedom Medal,97,33,1.0,0.0,1,63,== Legacy == | === Honors ===
http://dbpedia.org/class/yago/WikicatAmericanAwards,http://dbpedia.org/resource/Four_Freedoms_Award,Freedom Medal,97,33,1.0,0.0,1,63,== Legacy == | === Honors ===
http://dbpedia.org/class/yago/WikicatAwardsEstablishedIn1982,http://dbpedia.org/resource/Four_Freedoms_Award,Freedom Medal,97,33,1.0,0.0,1,63,== Legacy == | === Honors ===
http://dbpedia.org/class/yago/WikicatHumanRightsAwards,http://dbpedia.org/resource/Four_Freedoms_Award,Freedom Medal,97,33,1.0,0.0,1,63,== Legacy == | === Honors ===
http://dbpedia.org/ontology/Award,http://dbpedia.org/resource/Four_Freedoms_Award,Freedom Medal,97,33,1.0,0.0,1,63,== Legacy == | === Honors ===
http://dbpedia.org/class/yago/WikicatDutchAwards,http://dbpedia.org/resource/Four_Freedoms_Award,Freedom Medal,97,33,1.0,0.0,1,63,== Legacy == | === Honors ===
http://dbpedia.org/class/yago/WikicatReligion-relatedAwards,http://dbpedia.org/resource/Four_Freedoms_Award,Freedom Medal,97,33,1.0,0.0,1,63,== Legacy == | === Honors ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Four_Freedoms_Award,Freedom Medal,97,33,1.0,0.0,1,63,== Legacy == | === Honors ===
http://dbpedia.org/class/yago/Attribute100024264,http://dbpedia.org/resource/Four_Freedoms_Award,Freedom Medal,97,33,1.0,0.0,1,63,== Legacy == | === Honors ===
http://dbpedia.org/class/yago/Award106696483,http://dbpedia.org/resource/Four_Freedoms_Award,Freedom Medal,97,33,1.0,0.0,1,63,== Legacy == | === Honors ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Four_Freedoms_Award,Freedom Medal,97,33,1.0,0.0,1,63,== Legacy == | === Honors ===
http://dbpedia.org/class/yago/Freedom113991823,http://dbpedia.org/resource/Four_Freedoms_Award,Freedom Medal,97,33,1.0,0.0,1,63,== Legacy == | === Honors ===
http://dbpedia.org/class/yago/Signal106791372,http://dbpedia.org/resource/Four_Freedoms_Award,Freedom Medal,97,33,1.0,0.0,1,63,== Legacy == | === Honors ===
http://dbpedia.org/class/yago/State100024720,http://dbpedia.org/resource/Four_Freedoms_Award,Freedom Medal,97,33,1.0,0.0,1,63,== Legacy == | === Honors ===
http://dbpedia.org/class/yago/Symbol106806469,http://dbpedia.org/resource/Four_Freedoms_Award,Freedom Medal,97,33,1.0,0.0,1,63,== Legacy == | === Honors ===
http://dbpedia.org/class/yago/WikicatFourFreedoms,http://dbpedia.org/resource/Four_Freedoms_Award,Freedom Medal,97,33,1.0,0.0,1,63,== Legacy == | === Honors ===
http://dbpedia.org/class/yago/WikicatFreeExpressionAwards,http://dbpedia.org/resource/Four_Freedoms_Award,Freedom Medal,97,33,1.0,0.0,1,63,== Legacy == | === Honors ===
http://dbpedia.org/class/yago/WikicatPeaceAwards,http://dbpedia.org/resource/Four_Freedoms_Award,Freedom Medal,97,33,1.0,0.0,1,63,== Legacy == | === Honors ===
