types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/The_Elder_Scrolls,orsimer,642,95,1.0,0.0,0,23,== Career == | === New millennium ===
http://dbpedia.org/class/yago/Ordering108456993,http://dbpedia.org/resource/The_Elder_Scrolls,orsimer,642,95,1.0,0.0,0,23,== Career == | === New millennium ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/The_Elder_Scrolls,orsimer,642,95,1.0,0.0,0,23,== Career == | === New millennium ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/The_Elder_Scrolls,orsimer,642,95,1.0,0.0,0,23,== Career == | === New millennium ===
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/The_Elder_Scrolls,orsimer,642,95,1.0,0.0,0,23,== Career == | === New millennium ===
http://dbpedia.org/class/yago/Arrangement107938773,http://dbpedia.org/resource/The_Elder_Scrolls,orsimer,642,95,1.0,0.0,0,23,== Career == | === New millennium ===
http://dbpedia.org/class/yago/Attribute100024264,http://dbpedia.org/resource/The_Elder_Scrolls,orsimer,642,95,1.0,0.0,0,23,== Career == | === New millennium ===
http://dbpedia.org/class/yago/Coil113875970,http://dbpedia.org/resource/The_Elder_Scrolls,orsimer,642,95,1.0,0.0,0,23,== Career == | === New millennium ===
http://dbpedia.org/class/yago/ComputerGame100458890,http://dbpedia.org/resource/The_Elder_Scrolls,orsimer,642,95,1.0,0.0,0,23,== Career == | === New millennium ===
http://dbpedia.org/class/yago/Contest107456188,http://dbpedia.org/resource/The_Elder_Scrolls,orsimer,642,95,1.0,0.0,0,23,== Career == | === New millennium ===
http://dbpedia.org/class/yago/Diversion100426928,http://dbpedia.org/resource/The_Elder_Scrolls,orsimer,642,95,1.0,0.0,0,23,== Career == | === New millennium ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/The_Elder_Scrolls,orsimer,642,95,1.0,0.0,0,23,== Career == | === New millennium ===
http://dbpedia.org/class/yago/Game100430606,http://dbpedia.org/resource/The_Elder_Scrolls,orsimer,642,95,1.0,0.0,0,23,== Career == | === New millennium ===
http://dbpedia.org/class/yago/Game100456199,http://dbpedia.org/resource/The_Elder_Scrolls,orsimer,642,95,1.0,0.0,0,23,== Career == | === New millennium ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/The_Elder_Scrolls,orsimer,642,95,1.0,0.0,0,23,== Career == | === New millennium ===
http://dbpedia.org/ontology/TelevisionShow,http://dbpedia.org/resource/The_Elder_Scrolls,orsimer,642,95,1.0,0.0,0,23,== Career == | === New millennium ===
http://umbel.org/umbel/rc/ComputerGameProgram,http://dbpedia.org/resource/The_Elder_Scrolls,orsimer,642,95,1.0,0.0,0,23,== Career == | === New millennium ===
http://umbel.org/umbel/rc/SoftwareObject,http://dbpedia.org/resource/The_Elder_Scrolls,orsimer,642,95,1.0,0.0,0,23,== Career == | === New millennium ===
http://dbpedia.org/class/yago/WikicatN-GageGames,http://dbpedia.org/resource/The_Elder_Scrolls,orsimer,642,95,1.0,0.0,0,23,== Career == | === New millennium ===
http://dbpedia.org/class/yago/WikicatPlayStation3Games,http://dbpedia.org/resource/The_Elder_Scrolls,orsimer,642,95,1.0,0.0,0,23,== Career == | === New millennium ===
http://dbpedia.org/class/yago/WikicatTheElderScrolls,http://dbpedia.org/resource/The_Elder_Scrolls,orsimer,642,95,1.0,0.0,0,23,== Career == | === New millennium ===
http://dbpedia.org/class/yago/RoundShape113865483,http://dbpedia.org/resource/The_Elder_Scrolls,orsimer,642,95,1.0,0.0,0,23,== Career == | === New millennium ===
http://dbpedia.org/class/yago/Series108457976,http://dbpedia.org/resource/The_Elder_Scrolls,orsimer,642,95,1.0,0.0,0,23,== Career == | === New millennium ===
http://dbpedia.org/class/yago/Shape100027807,http://dbpedia.org/resource/The_Elder_Scrolls,orsimer,642,95,1.0,0.0,0,23,== Career == | === New millennium ===
http://dbpedia.org/class/yago/SocialEvent107288639,http://dbpedia.org/resource/The_Elder_Scrolls,orsimer,642,95,1.0,0.0,0,23,== Career == | === New millennium ===
http://dbpedia.org/class/yago/Wikicat1994VideoGames,http://dbpedia.org/resource/The_Elder_Scrolls,orsimer,642,95,1.0,0.0,0,23,== Career == | === New millennium ===
http://dbpedia.org/class/yago/WikicatActionVideoGames,http://dbpedia.org/resource/The_Elder_Scrolls,orsimer,642,95,1.0,0.0,0,23,== Career == | === New millennium ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/The_Elder_Scrolls,orsimer,642,95,1.0,0.0,0,23,== Career == | === New millennium ===
http://dbpedia.org/class/yago/WikicatDOSGames,http://dbpedia.org/resource/The_Elder_Scrolls,orsimer,642,95,1.0,0.0,0,23,== Career == | === New millennium ===
http://dbpedia.org/class/yago/WikicatWindowsGames,http://dbpedia.org/resource/The_Elder_Scrolls,orsimer,642,95,1.0,0.0,0,23,== Career == | === New millennium ===
http://dbpedia.org/class/yago/WikicatXbox360Games,http://dbpedia.org/resource/The_Elder_Scrolls,orsimer,642,95,1.0,0.0,0,23,== Career == | === New millennium ===
http://dbpedia.org/class/yago/WikicatXboxGames,http://dbpedia.org/resource/The_Elder_Scrolls,orsimer,642,95,1.0,0.0,0,23,== Career == | === New millennium ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/The_Elder_Scrolls,orsimer,642,95,1.0,0.0,0,23,== Career == | === New millennium ===
