types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Uplift_Universe,Jijo,158,38,0.9999998903179576,0.0,0,17,== Filmography == | === Anime television ===
http://dbpedia.org/ontology/TelevisionShow,http://dbpedia.org/resource/Uplift_Universe,Jijo,158,38,0.9999998903179576,0.0,0,17,== Filmography == | === Anime television ===
http://dbpedia.org/class/yago/Writing106362953,http://dbpedia.org/resource/Uplift_Universe,Jijo,158,38,0.9999998903179576,0.0,0,17,== Filmography == | === Anime television ===
http://dbpedia.org/class/yago/WrittenCommunication106349220,http://dbpedia.org/resource/Uplift_Universe,Jijo,158,38,0.9999998903179576,0.0,0,17,== Filmography == | === Anime television ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Uplift_Universe,Jijo,158,38,0.9999998903179576,0.0,0,17,== Filmography == | === Anime television ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Uplift_Universe,Jijo,158,38,0.9999998903179576,0.0,0,17,== Filmography == | === Anime television ===
http://dbpedia.org/class/yago/Fiction106367107,http://dbpedia.org/resource/Uplift_Universe,Jijo,158,38,0.9999998903179576,0.0,0,17,== Filmography == | === Anime television ===
http://dbpedia.org/class/yago/LiteraryComposition106364329,http://dbpedia.org/resource/Uplift_Universe,Jijo,158,38,0.9999998903179576,0.0,0,17,== Filmography == | === Anime television ===
http://dbpedia.org/class/yago/Novel106367879,http://dbpedia.org/resource/Uplift_Universe,Jijo,158,38,0.9999998903179576,0.0,0,17,== Filmography == | === Anime television ===
http://dbpedia.org/class/yago/WikicatNovelsByDavidBrin,http://dbpedia.org/resource/Uplift_Universe,Jijo,158,38,0.9999998903179576,0.0,0,17,== Filmography == | === Anime television ===
http://dbpedia.org/class/yago/WikicatSpeculativeFictionNovels,http://dbpedia.org/resource/Uplift_Universe,Jijo,158,38,0.9999998903179576,0.0,0,17,== Filmography == | === Anime television ===
