types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Band,http://dbpedia.org/resource/Hustling,pool hustler,129,42,1.0,0.0,7,40,== Later published speculation == | === Adams' sexuality ===
http://dbpedia.org/ontology/PersonFunction,http://dbpedia.org/resource/Hustling,pool hustler,129,42,1.0,0.0,7,40,== Later published speculation == | === Adams' sexuality ===
http://dbpedia.org/class/yago/WikicatConfidenceTricks,http://dbpedia.org/resource/Hustling,pool hustler,129,42,1.0,0.0,7,40,== Later published speculation == | === Adams' sexuality ===
http://dbpedia.org/class/yago/WikicatCueSports,http://dbpedia.org/resource/Hustling,pool hustler,129,42,1.0,0.0,7,40,== Later published speculation == | === Adams' sexuality ===
http://dbpedia.org/class/yago/Wrongdoing100732746,http://dbpedia.org/resource/Hustling,pool hustler,129,42,1.0,0.0,7,40,== Later published speculation == | === Adams' sexuality ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Hustling,pool hustler,129,42,1.0,0.0,7,40,== Later published speculation == | === Adams' sexuality ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Hustling,pool hustler,129,42,1.0,0.0,7,40,== Later published speculation == | === Adams' sexuality ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Hustling,pool hustler,129,42,1.0,0.0,7,40,== Later published speculation == | === Adams' sexuality ===
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/Hustling,pool hustler,129,42,1.0,0.0,7,40,== Later published speculation == | === Adams' sexuality ===
http://dbpedia.org/class/yago/Bunco100779248,http://dbpedia.org/resource/Hustling,pool hustler,129,42,1.0,0.0,7,40,== Later published speculation == | === Adams' sexuality ===
http://dbpedia.org/class/yago/Crime100766234,http://dbpedia.org/resource/Hustling,pool hustler,129,42,1.0,0.0,7,40,== Later published speculation == | === Adams' sexuality ===
http://dbpedia.org/class/yago/Diversion100426928,http://dbpedia.org/resource/Hustling,pool hustler,129,42,1.0,0.0,7,40,== Later published speculation == | === Adams' sexuality ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Hustling,pool hustler,129,42,1.0,0.0,7,40,== Later published speculation == | === Adams' sexuality ===
http://dbpedia.org/class/yago/Fraud100769092,http://dbpedia.org/resource/Hustling,pool hustler,129,42,1.0,0.0,7,40,== Later published speculation == | === Adams' sexuality ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Hustling,pool hustler,129,42,1.0,0.0,7,40,== Later published speculation == | === Adams' sexuality ===
http://dbpedia.org/class/yago/Sport100523513,http://dbpedia.org/resource/Hustling,pool hustler,129,42,1.0,0.0,7,40,== Later published speculation == | === Adams' sexuality ===
http://dbpedia.org/class/yago/Swindle100780148,http://dbpedia.org/resource/Hustling,pool hustler,129,42,1.0,0.0,7,40,== Later published speculation == | === Adams' sexuality ===
http://dbpedia.org/class/yago/Transgression100745005,http://dbpedia.org/resource/Hustling,pool hustler,129,42,1.0,0.0,7,40,== Later published speculation == | === Adams' sexuality ===
