types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Una_furtiva_lagrima,Una Furtiva Lagrima,29,0,1.0,0.0,0,83,== Discography == | === Recital ===
http://dbpedia.org/class/yago/WikicatAriasByGaetanoDonizetti,http://dbpedia.org/resource/Una_furtiva_lagrima,Una Furtiva Lagrima,29,0,1.0,0.0,0,83,== Discography == | === Recital ===
http://dbpedia.org/class/yago/WikicatItalianSongs,http://dbpedia.org/resource/Una_furtiva_lagrima,Una Furtiva Lagrima,29,0,1.0,0.0,0,83,== Discography == | === Recital ===
http://dbpedia.org/class/yago/Writing106362953,http://dbpedia.org/resource/Una_furtiva_lagrima,Una Furtiva Lagrima,29,0,1.0,0.0,0,83,== Discography == | === Recital ===
http://dbpedia.org/class/yago/WrittenCommunication106349220,http://dbpedia.org/resource/Una_furtiva_lagrima,Una Furtiva Lagrima,29,0,1.0,0.0,0,83,== Discography == | === Recital ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Una_furtiva_lagrima,Una Furtiva Lagrima,29,0,1.0,0.0,0,83,== Discography == | === Recital ===
http://dbpedia.org/class/yago/Aria107049514,http://dbpedia.org/resource/Una_furtiva_lagrima,Una Furtiva Lagrima,29,0,1.0,0.0,0,83,== Discography == | === Recital ===
http://dbpedia.org/class/yago/AuditoryCommunication107109019,http://dbpedia.org/resource/Una_furtiva_lagrima,Una Furtiva Lagrima,29,0,1.0,0.0,0,83,== Discography == | === Recital ===
http://dbpedia.org/class/yago/ClassicalMusic107025900,http://dbpedia.org/resource/Una_furtiva_lagrima,Una Furtiva Lagrima,29,0,1.0,0.0,0,83,== Discography == | === Recital ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Una_furtiva_lagrima,Una Furtiva Lagrima,29,0,1.0,0.0,0,83,== Discography == | === Recital ===
http://dbpedia.org/class/yago/Excerpt106400510,http://dbpedia.org/resource/Una_furtiva_lagrima,Una Furtiva Lagrima,29,0,1.0,0.0,0,83,== Discography == | === Recital ===
http://dbpedia.org/class/yago/ExpressiveStyle107066659,http://dbpedia.org/resource/Una_furtiva_lagrima,Una Furtiva Lagrima,29,0,1.0,0.0,0,83,== Discography == | === Recital ===
http://dbpedia.org/class/yago/Music107020895,http://dbpedia.org/resource/Una_furtiva_lagrima,Una Furtiva Lagrima,29,0,1.0,0.0,0,83,== Discography == | === Recital ===
http://dbpedia.org/class/yago/MusicGenre107071942,http://dbpedia.org/resource/Una_furtiva_lagrima,Una Furtiva Lagrima,29,0,1.0,0.0,0,83,== Discography == | === Recital ===
http://dbpedia.org/class/yago/MusicalComposition107037465,http://dbpedia.org/resource/Una_furtiva_lagrima,Una Furtiva Lagrima,29,0,1.0,0.0,0,83,== Discography == | === Recital ===
http://dbpedia.org/class/yago/Opera107026352,http://dbpedia.org/resource/Una_furtiva_lagrima,Una Furtiva Lagrima,29,0,1.0,0.0,0,83,== Discography == | === Recital ===
http://dbpedia.org/class/yago/Passage106400271,http://dbpedia.org/resource/Una_furtiva_lagrima,Una Furtiva Lagrima,29,0,1.0,0.0,0,83,== Discography == | === Recital ===
http://dbpedia.org/class/yago/Section106392001,http://dbpedia.org/resource/Una_furtiva_lagrima,Una Furtiva Lagrima,29,0,1.0,0.0,0,83,== Discography == | === Recital ===
http://dbpedia.org/class/yago/Song107048000,http://dbpedia.org/resource/Una_furtiva_lagrima,Una Furtiva Lagrima,29,0,1.0,0.0,0,83,== Discography == | === Recital ===
http://dbpedia.org/class/yago/WikicatOperaExcerpts,http://dbpedia.org/resource/Una_furtiva_lagrima,Una Furtiva Lagrima,29,0,1.0,0.0,0,83,== Discography == | === Recital ===
http://dbpedia.org/class/yago/WikicatOperasByGaetanoDonizetti,http://dbpedia.org/resource/Una_furtiva_lagrima,Una Furtiva Lagrima,29,0,1.0,0.0,0,83,== Discography == | === Recital ===
