types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/HumanRight105176846,http://dbpedia.org/resource/Forced_disappearance,forced disappearance,1665,75,0.9999979641704873,2.03581689327648e-06,4,32,== Beliefs and personality == | === Politics ===
http://dbpedia.org/class/yago/Idea105833840,http://dbpedia.org/resource/Forced_disappearance,forced disappearance,1665,75,0.9999979641704873,2.03581689327648e-06,4,32,== Beliefs and personality == | === Politics ===
http://dbpedia.org/class/yago/Killing100219012,http://dbpedia.org/resource/Forced_disappearance,forced disappearance,1665,75,0.9999979641704873,2.03581689327648e-06,4,32,== Beliefs and personality == | === Politics ===
http://dbpedia.org/class/yago/Murder100220522,http://dbpedia.org/resource/Forced_disappearance,forced disappearance,1665,75,0.9999979641704873,2.03581689327648e-06,4,32,== Beliefs and personality == | === Politics ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Forced_disappearance,forced disappearance,1665,75,0.9999979641704873,2.03581689327648e-06,4,32,== Beliefs and personality == | === Politics ===
http://dbpedia.org/class/yago/Abstraction105854150,http://dbpedia.org/resource/Forced_disappearance,forced disappearance,1665,75,0.9999979641704873,2.03581689327648e-06,4,32,== Beliefs and personality == | === Politics ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Forced_disappearance,forced disappearance,1665,75,0.9999979641704873,2.03581689327648e-06,4,32,== Beliefs and personality == | === Politics ===
http://dbpedia.org/class/yago/Action100037396,http://dbpedia.org/resource/Forced_disappearance,forced disappearance,1665,75,0.9999979641704873,2.03581689327648e-06,4,32,== Beliefs and personality == | === Politics ===
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/Forced_disappearance,forced disappearance,1665,75,0.9999979641704873,2.03581689327648e-06,4,32,== Beliefs and personality == | === Politics ===
http://dbpedia.org/class/yago/AuditoryCommunication107109019,http://dbpedia.org/resource/Forced_disappearance,forced disappearance,1665,75,0.9999979641704873,2.03581689327648e-06,4,32,== Beliefs and personality == | === Politics ===
http://dbpedia.org/class/yago/Change100191142,http://dbpedia.org/resource/Forced_disappearance,forced disappearance,1665,75,0.9999979641704873,2.03581689327648e-06,4,32,== Beliefs and personality == | === Politics ===
http://dbpedia.org/class/yago/ChangeOfState100199130,http://dbpedia.org/resource/Forced_disappearance,forced disappearance,1665,75,0.9999979641704873,2.03581689327648e-06,4,32,== Beliefs and personality == | === Politics ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Forced_disappearance,forced disappearance,1665,75,0.9999979641704873,2.03581689327648e-06,4,32,== Beliefs and personality == | === Politics ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Forced_disappearance,forced disappearance,1665,75,0.9999979641704873,2.03581689327648e-06,4,32,== Beliefs and personality == | === Politics ===
http://dbpedia.org/class/yago/Concept105835747,http://dbpedia.org/resource/Forced_disappearance,forced disappearance,1665,75,0.9999979641704873,2.03581689327648e-06,4,32,== Beliefs and personality == | === Politics ===
http://dbpedia.org/class/yago/Content105809192,http://dbpedia.org/resource/Forced_disappearance,forced disappearance,1665,75,0.9999979641704873,2.03581689327648e-06,4,32,== Beliefs and personality == | === Politics ===
http://dbpedia.org/class/yago/Crime100766234,http://dbpedia.org/resource/Forced_disappearance,forced disappearance,1665,75,0.9999979641704873,2.03581689327648e-06,4,32,== Beliefs and personality == | === Politics ===
http://dbpedia.org/class/yago/Euphemism106605046,http://dbpedia.org/resource/Forced_disappearance,forced disappearance,1665,75,0.9999979641704873,2.03581689327648e-06,4,32,== Beliefs and personality == | === Politics ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Forced_disappearance,forced disappearance,1665,75,0.9999979641704873,2.03581689327648e-06,4,32,== Beliefs and personality == | === Politics ===
http://dbpedia.org/class/yago/Homicide100220023,http://dbpedia.org/resource/Forced_disappearance,forced disappearance,1665,75,0.9999979641704873,2.03581689327648e-06,4,32,== Beliefs and personality == | === Politics ===
