types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatCompaniesEstablishedIn1937,http://dbpedia.org/resource/Seoul_Milk,Seoul Milk,10,14,0.999999999980986,0.0,2,6,== Other ventures == | === Endorsements ===
http://dbpedia.org/class/yago/WikicatDairyProductsCompanies,http://dbpedia.org/resource/Seoul_Milk,Seoul Milk,10,14,0.999999999980986,0.0,2,6,== Other ventures == | === Endorsements ===
http://dbpedia.org/class/yago/WikicatDairyProductsCompaniesOfSouthKorea,http://dbpedia.org/resource/Seoul_Milk,Seoul Milk,10,14,0.999999999980986,0.0,2,6,== Other ventures == | === Endorsements ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Seoul_Milk,Seoul Milk,10,14,0.999999999980986,0.0,2,6,== Other ventures == | === Endorsements ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Seoul_Milk,Seoul Milk,10,14,0.999999999980986,0.0,2,6,== Other ventures == | === Endorsements ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Seoul_Milk,Seoul Milk,10,14,0.999999999980986,0.0,2,6,== Other ventures == | === Endorsements ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Seoul_Milk,Seoul Milk,10,14,0.999999999980986,0.0,2,6,== Other ventures == | === Endorsements ===
http://dbpedia.org/class/yago/Company108058098,http://dbpedia.org/resource/Seoul_Milk,Seoul Milk,10,14,0.999999999980986,0.0,2,6,== Other ventures == | === Endorsements ===
http://dbpedia.org/class/yago/FoodCompany108003427,http://dbpedia.org/resource/Seoul_Milk,Seoul Milk,10,14,0.999999999980986,0.0,2,6,== Other ventures == | === Endorsements ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Seoul_Milk,Seoul Milk,10,14,0.999999999980986,0.0,2,6,== Other ventures == | === Endorsements ===
http://dbpedia.org/class/yago/Institution108053576,http://dbpedia.org/resource/Seoul_Milk,Seoul Milk,10,14,0.999999999980986,0.0,2,6,== Other ventures == | === Endorsements ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Seoul_Milk,Seoul Milk,10,14,0.999999999980986,0.0,2,6,== Other ventures == | === Endorsements ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Seoul_Milk,Seoul Milk,10,14,0.999999999980986,0.0,2,6,== Other ventures == | === Endorsements ===
http://dbpedia.org/class/yago/WikicatFoodCompaniesOfSouthKorea,http://dbpedia.org/resource/Seoul_Milk,Seoul Milk,10,14,0.999999999980986,0.0,2,6,== Other ventures == | === Endorsements ===
