types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Hermann_Grabner,Hermann Grabner,27,28,1.0,0.0,3,5,== Life == | === Leipzig ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Hermann_Grabner,Hermann Grabner,27,28,1.0,0.0,3,5,== Life == | === Leipzig ===
http://dbpedia.org/class/yago/WikicatAustrianComposers,http://dbpedia.org/resource/Hermann_Grabner,Hermann Grabner,27,28,1.0,0.0,3,5,== Life == | === Leipzig ===
http://dbpedia.org/class/yago/WikicatAustrianMusicEducators,http://dbpedia.org/resource/Hermann_Grabner,Hermann Grabner,27,28,1.0,0.0,3,5,== Life == | === Leipzig ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Hermann_Grabner,Hermann Grabner,27,28,1.0,0.0,3,5,== Life == | === Leipzig ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Hermann_Grabner,Hermann Grabner,27,28,1.0,0.0,3,5,== Life == | === Leipzig ===
http://dbpedia.org/class/yago/WikicatMusicEducators,http://dbpedia.org/resource/Hermann_Grabner,Hermann Grabner,27,28,1.0,0.0,3,5,== Life == | === Leipzig ===
http://dbpedia.org/class/yago/WikicatMusicTheorists,http://dbpedia.org/resource/Hermann_Grabner,Hermann Grabner,27,28,1.0,0.0,3,5,== Life == | === Leipzig ===
http://dbpedia.org/class/yago/WikicatPupilsOfMaxReger,http://dbpedia.org/resource/Hermann_Grabner,Hermann Grabner,27,28,1.0,0.0,3,5,== Life == | === Leipzig ===
http://dbpedia.org/class/yago/Adult109605289,http://dbpedia.org/resource/Hermann_Grabner,Hermann Grabner,27,28,1.0,0.0,3,5,== Life == | === Leipzig ===
http://dbpedia.org/class/yago/Artist109812338,http://dbpedia.org/resource/Hermann_Grabner,Hermann Grabner,27,28,1.0,0.0,3,5,== Life == | === Leipzig ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Hermann_Grabner,Hermann Grabner,27,28,1.0,0.0,3,5,== Life == | === Leipzig ===
http://dbpedia.org/class/yago/Composer109947232,http://dbpedia.org/resource/Hermann_Grabner,Hermann Grabner,27,28,1.0,0.0,3,5,== Life == | === Leipzig ===
http://dbpedia.org/class/yago/Creator109614315,http://dbpedia.org/resource/Hermann_Grabner,Hermann Grabner,27,28,1.0,0.0,3,5,== Life == | === Leipzig ===
http://dbpedia.org/class/yago/Educator110045713,http://dbpedia.org/resource/Hermann_Grabner,Hermann Grabner,27,28,1.0,0.0,3,5,== Life == | === Leipzig ===
http://dbpedia.org/class/yago/Enrollee110059162,http://dbpedia.org/resource/Hermann_Grabner,Hermann Grabner,27,28,1.0,0.0,3,5,== Life == | === Leipzig ===
http://dbpedia.org/class/yago/Intellectual109621545,http://dbpedia.org/resource/Hermann_Grabner,Hermann Grabner,27,28,1.0,0.0,3,5,== Life == | === Leipzig ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Hermann_Grabner,Hermann Grabner,27,28,1.0,0.0,3,5,== Life == | === Leipzig ===
http://dbpedia.org/class/yago/Musician110339966,http://dbpedia.org/resource/Hermann_Grabner,Hermann Grabner,27,28,1.0,0.0,3,5,== Life == | === Leipzig ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Hermann_Grabner,Hermann Grabner,27,28,1.0,0.0,3,5,== Life == | === Leipzig ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Hermann_Grabner,Hermann Grabner,27,28,1.0,0.0,3,5,== Life == | === Leipzig ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Hermann_Grabner,Hermann Grabner,27,28,1.0,0.0,3,5,== Life == | === Leipzig ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Hermann_Grabner,Hermann Grabner,27,28,1.0,0.0,3,5,== Life == | === Leipzig ===
http://dbpedia.org/class/yago/Professional110480253,http://dbpedia.org/resource/Hermann_Grabner,Hermann Grabner,27,28,1.0,0.0,3,5,== Life == | === Leipzig ===
http://dbpedia.org/class/yago/Student110665698,http://dbpedia.org/resource/Hermann_Grabner,Hermann Grabner,27,28,1.0,0.0,3,5,== Life == | === Leipzig ===
http://dbpedia.org/class/yago/Theorist110706812,http://dbpedia.org/resource/Hermann_Grabner,Hermann Grabner,27,28,1.0,0.0,3,5,== Life == | === Leipzig ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Hermann_Grabner,Hermann Grabner,27,28,1.0,0.0,3,5,== Life == | === Leipzig ===
http://dbpedia.org/class/yago/Wikicat20th-centuryComposers,http://dbpedia.org/resource/Hermann_Grabner,Hermann Grabner,27,28,1.0,0.0,3,5,== Life == | === Leipzig ===
http://dbpedia.org/class/yago/WikicatOperaComposers,http://dbpedia.org/resource/Hermann_Grabner,Hermann Grabner,27,28,1.0,0.0,3,5,== Life == | === Leipzig ===
http://dbpedia.org/class/yago/WikicatPeopleFromGraz,http://dbpedia.org/resource/Hermann_Grabner,Hermann Grabner,27,28,1.0,0.0,3,5,== Life == | === Leipzig ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Otto_Weinreich,Otto Weinreich,6,86,0.999999997130459,2.869505378441108e-09,3,5,== Life == | === Leipzig ===
http://dbpedia.org/class/yago/Animal100015388,http://dbpedia.org/resource/Jötunn,jotuns,663,212,0.9985126821029072,0.0,9,11,== Life == | === A great controversy ===
http://dbpedia.org/class/yago/Giant101323781,http://dbpedia.org/resource/Jötunn,jotuns,663,212,0.9985126821029072,0.0,9,11,== Life == | === A great controversy ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Jötunn,jotuns,663,212,0.9985126821029072,0.0,9,11,== Life == | === A great controversy ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Jötunn,jotuns,663,212,0.9985126821029072,0.0,9,11,== Life == | === A great controversy ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Jötunn,jotuns,663,212,0.9985126821029072,0.0,9,11,== Life == | === A great controversy ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Jötunn,jotuns,663,212,0.9985126821029072,0.0,9,11,== Life == | === A great controversy ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Jötunn,jotuns,663,212,0.9985126821029072,0.0,9,11,== Life == | === A great controversy ===
http://dbpedia.org/class/yago/WikicatGiants,http://dbpedia.org/resource/Jötunn,jotuns,663,212,0.9985126821029072,0.0,9,11,== Life == | === A great controversy ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Aslaug,Aslaug,128,68,1.0,0.0,3,20,== Music == | === Songs for the common Norwegian ===
http://dbpedia.org/class/yago/WikicatHeroesInNorseMythsAndLegends,http://dbpedia.org/resource/Aslaug,Aslaug,128,68,1.0,0.0,3,20,== Music == | === Songs for the common Norwegian ===
http://dbpedia.org/class/yago/WikicatBurgundianPeople,http://dbpedia.org/resource/Aslaug,Aslaug,128,68,1.0,0.0,3,20,== Music == | === Songs for the common Norwegian ===
http://dbpedia.org/class/yago/WikicatVikingWarriors,http://dbpedia.org/resource/Aslaug,Aslaug,128,68,1.0,0.0,3,20,== Music == | === Songs for the common Norwegian ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Aslaug,Aslaug,128,68,1.0,0.0,3,20,== Music == | === Songs for the common Norwegian ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Aslaug,Aslaug,128,68,1.0,0.0,3,20,== Music == | === Songs for the common Norwegian ===
http://dbpedia.org/class/yago/WikicatLegendaryPeople,http://dbpedia.org/resource/Aslaug,Aslaug,128,68,1.0,0.0,3,20,== Music == | === Songs for the common Norwegian ===
http://dbpedia.org/class/yago/WikicatLegendaryRulers,http://dbpedia.org/resource/Aslaug,Aslaug,128,68,1.0,0.0,3,20,== Music == | === Songs for the common Norwegian ===
