types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Hussites,Hussitism,1336,86,0.9999999544384802,0.0,4,27,== Works == | === Poetry ===
http://dbpedia.org/class/yago/WikicatAncientChristianDenominations,http://dbpedia.org/resource/Hussites,Hussitism,1336,86,0.9999999544384802,0.0,4,27,== Works == | === Poetry ===
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/resource/Hussites,Hussitism,1336,86,0.9999999544384802,0.0,4,27,== Works == | === Poetry ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Hussites,Hussitism,1336,86,0.9999999544384802,0.0,4,27,== Works == | === Poetry ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Hussites,Hussitism,1336,86,0.9999999544384802,0.0,4,27,== Works == | === Poetry ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Hussites,Hussitism,1336,86,0.9999999544384802,0.0,4,27,== Works == | === Poetry ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Hussites,Hussitism,1336,86,0.9999999544384802,0.0,4,27,== Works == | === Poetry ===
http://dbpedia.org/class/yago/Denomination108146782,http://dbpedia.org/resource/Hussites,Hussitism,1336,86,0.9999999544384802,0.0,4,27,== Works == | === Poetry ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Hussites,Hussitism,1336,86,0.9999999544384802,0.0,4,27,== Works == | === Poetry ===
http://dbpedia.org/class/yago/NongovernmentalOrganization108009834,http://dbpedia.org/resource/Hussites,Hussitism,1336,86,0.9999999544384802,0.0,4,27,== Works == | === Poetry ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Hussites,Hussitism,1336,86,0.9999999544384802,0.0,4,27,== Works == | === Poetry ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Hussites,Hussitism,1336,86,0.9999999544384802,0.0,4,27,== Works == | === Poetry ===
