types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/NPG_Records,NPG,65,23,0.991700119961282,0.0083640891501816,2,18,== Career == | === 1998–2016 ===
http://dbpedia.org/class/yago/WikicatAmericanRecordLabels,http://dbpedia.org/resource/NPG_Records,NPG,65,23,0.991700119961282,0.0083640891501816,2,18,== Career == | === 1998–2016 ===
http://dbpedia.org/class/yago/WikicatPopRecordLabels,http://dbpedia.org/resource/NPG_Records,NPG,65,23,0.991700119961282,0.0083640891501816,2,18,== Career == | === 1998–2016 ===
http://dbpedia.org/ontology/RecordLabel,http://dbpedia.org/resource/NPG_Records,NPG,65,23,0.991700119961282,0.0083640891501816,2,18,== Career == | === 1998–2016 ===
http://dbpedia.org/class/yago/WikicatVanityRecordLabels,http://dbpedia.org/resource/NPG_Records,NPG,65,23,0.991700119961282,0.0083640891501816,2,18,== Career == | === 1998–2016 ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/NPG_Records,NPG,65,23,0.991700119961282,0.0083640891501816,2,18,== Career == | === 1998–2016 ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/NPG_Records,NPG,65,23,0.991700119961282,0.0083640891501816,2,18,== Career == | === 1998–2016 ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/NPG_Records,NPG,65,23,0.991700119961282,0.0083640891501816,2,18,== Career == | === 1998–2016 ===
http://dbpedia.org/class/yago/WikicatRecordLabelsDisestablishedIn1995,http://dbpedia.org/resource/NPG_Records,NPG,65,23,0.991700119961282,0.0083640891501816,2,18,== Career == | === 1998–2016 ===
http://dbpedia.org/class/yago/WikicatRecordLabelsEstablishedIn1993,http://dbpedia.org/resource/NPG_Records,NPG,65,23,0.991700119961282,0.0083640891501816,2,18,== Career == | === 1998–2016 ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/NPG_Records,NPG,65,23,0.991700119961282,0.0083640891501816,2,18,== Career == | === 1998–2016 ===
http://dbpedia.org/class/yago/Company108058098,http://dbpedia.org/resource/NPG_Records,NPG,65,23,0.991700119961282,0.0083640891501816,2,18,== Career == | === 1998–2016 ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/NPG_Records,NPG,65,23,0.991700119961282,0.0083640891501816,2,18,== Career == | === 1998–2016 ===
http://dbpedia.org/class/yago/Institution108053576,http://dbpedia.org/resource/NPG_Records,NPG,65,23,0.991700119961282,0.0083640891501816,2,18,== Career == | === 1998–2016 ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/NPG_Records,NPG,65,23,0.991700119961282,0.0083640891501816,2,18,== Career == | === 1998–2016 ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/NPG_Records,NPG,65,23,0.991700119961282,0.0083640891501816,2,18,== Career == | === 1998–2016 ===
