types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Herman_Wildenvey,Herman Wildenvey,35,24,1.0,0.0,0,36,== Production == | ==== Other styles ====
http://dbpedia.org/class/yago/WikicatPeopleFromNedreEiker,http://dbpedia.org/resource/Herman_Wildenvey,Herman Wildenvey,35,24,1.0,0.0,0,36,== Production == | ==== Other styles ====
http://dbpedia.org/class/yago/WikicatCommandersOfTheOrderOfSt.Olav,http://dbpedia.org/resource/Herman_Wildenvey,Herman Wildenvey,35,24,1.0,0.0,0,36,== Production == | ==== Other styles ====
http://dbpedia.org/class/yago/WikicatDoblougPrizeWinners,http://dbpedia.org/resource/Herman_Wildenvey,Herman Wildenvey,35,24,1.0,0.0,0,36,== Production == | ==== Other styles ====
http://dbpedia.org/class/yago/WikicatWriters,http://dbpedia.org/resource/Herman_Wildenvey,Herman Wildenvey,35,24,1.0,0.0,0,36,== Production == | ==== Other styles ====
http://dbpedia.org/class/yago/Winner110782791,http://dbpedia.org/resource/Herman_Wildenvey,Herman Wildenvey,35,24,1.0,0.0,0,36,== Production == | ==== Other styles ====
http://dbpedia.org/class/yago/Worker109632518,http://dbpedia.org/resource/Herman_Wildenvey,Herman Wildenvey,35,24,1.0,0.0,0,36,== Production == | ==== Other styles ====
http://dbpedia.org/class/yago/Writer110794014,http://dbpedia.org/resource/Herman_Wildenvey,Herman Wildenvey,35,24,1.0,0.0,0,36,== Production == | ==== Other styles ====
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Herman_Wildenvey,Herman Wildenvey,35,24,1.0,0.0,0,36,== Production == | ==== Other styles ====
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Herman_Wildenvey,Herman Wildenvey,35,24,1.0,0.0,0,36,== Production == | ==== Other styles ====
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Herman_Wildenvey,Herman Wildenvey,35,24,1.0,0.0,0,36,== Production == | ==== Other styles ====
http://dbpedia.org/class/yago/CommandingOfficer109941964,http://dbpedia.org/resource/Herman_Wildenvey,Herman Wildenvey,35,24,1.0,0.0,0,36,== Production == | ==== Other styles ====
http://dbpedia.org/class/yago/Communicator109610660,http://dbpedia.org/resource/Herman_Wildenvey,Herman Wildenvey,35,24,1.0,0.0,0,36,== Production == | ==== Other styles ====
http://dbpedia.org/class/yago/Gambler110118844,http://dbpedia.org/resource/Herman_Wildenvey,Herman Wildenvey,35,24,1.0,0.0,0,36,== Production == | ==== Other styles ====
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Herman_Wildenvey,Herman Wildenvey,35,24,1.0,0.0,0,36,== Production == | ==== Other styles ====
http://dbpedia.org/class/yago/MilitaryOfficer110317007,http://dbpedia.org/resource/Herman_Wildenvey,Herman Wildenvey,35,24,1.0,0.0,0,36,== Production == | ==== Other styles ====
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Herman_Wildenvey,Herman Wildenvey,35,24,1.0,0.0,0,36,== Production == | ==== Other styles ====
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Herman_Wildenvey,Herman Wildenvey,35,24,1.0,0.0,0,36,== Production == | ==== Other styles ====
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Herman_Wildenvey,Herman Wildenvey,35,24,1.0,0.0,0,36,== Production == | ==== Other styles ====
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Herman_Wildenvey,Herman Wildenvey,35,24,1.0,0.0,0,36,== Production == | ==== Other styles ====
http://dbpedia.org/class/yago/Poet110444194,http://dbpedia.org/resource/Herman_Wildenvey,Herman Wildenvey,35,24,1.0,0.0,0,36,== Production == | ==== Other styles ====
http://dbpedia.org/class/yago/PrizeWinner109627807,http://dbpedia.org/resource/Herman_Wildenvey,Herman Wildenvey,35,24,1.0,0.0,0,36,== Production == | ==== Other styles ====
http://dbpedia.org/class/yago/Serviceman110582746,http://dbpedia.org/resource/Herman_Wildenvey,Herman Wildenvey,35,24,1.0,0.0,0,36,== Production == | ==== Other styles ====
http://dbpedia.org/class/yago/SkilledWorker110605985,http://dbpedia.org/resource/Herman_Wildenvey,Herman Wildenvey,35,24,1.0,0.0,0,36,== Production == | ==== Other styles ====
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Herman_Wildenvey,Herman Wildenvey,35,24,1.0,0.0,0,36,== Production == | ==== Other styles ====
http://dbpedia.org/class/yago/WikicatNorwegianPeople,http://dbpedia.org/resource/Herman_Wildenvey,Herman Wildenvey,35,24,1.0,0.0,0,36,== Production == | ==== Other styles ====
http://dbpedia.org/class/yago/WikicatNorwegianPoets,http://dbpedia.org/resource/Herman_Wildenvey,Herman Wildenvey,35,24,1.0,0.0,0,36,== Production == | ==== Other styles ====
http://dbpedia.org/class/yago/WikicatNorwegianWriters,http://dbpedia.org/resource/Herman_Wildenvey,Herman Wildenvey,35,24,1.0,0.0,0,36,== Production == | ==== Other styles ====
