types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Cultural_Revolution,Great Proletarian Cultural Revolution,6576,48,1.0,0.0,6,15,== Life == | === Postwar ===
http://dbpedia.org/ontology/MusicGenre,http://dbpedia.org/resource/Cultural_Revolution,Great Proletarian Cultural Revolution,6576,48,1.0,0.0,6,15,== Life == | === Postwar ===
http://dbpedia.org/class/yago/WikicatHumanRightsInChina,http://dbpedia.org/resource/Cultural_Revolution,Great Proletarian Cultural Revolution,6576,48,1.0,0.0,6,15,== Life == | === Postwar ===
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/resource/Cultural_Revolution,Great Proletarian Cultural Revolution,6576,48,1.0,0.0,6,15,== Life == | === Postwar ===
http://dbpedia.org/class/yago/WikicatChina,http://dbpedia.org/resource/Cultural_Revolution,Great Proletarian Cultural Revolution,6576,48,1.0,0.0,6,15,== Life == | === Postwar ===
http://dbpedia.org/class/yago/WikicatChineseRevolutions,http://dbpedia.org/resource/Cultural_Revolution,Great Proletarian Cultural Revolution,6576,48,1.0,0.0,6,15,== Life == | === Postwar ===
http://dbpedia.org/class/yago/WikicatDisastersInChina,http://dbpedia.org/resource/Cultural_Revolution,Great Proletarian Cultural Revolution,6576,48,1.0,0.0,6,15,== Life == | === Postwar ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Cultural_Revolution,Great Proletarian Cultural Revolution,6576,48,1.0,0.0,6,15,== Life == | === Postwar ===
http://dbpedia.org/class/yago/WikicatRevolutions,http://dbpedia.org/resource/Cultural_Revolution,Great Proletarian Cultural Revolution,6576,48,1.0,0.0,6,15,== Life == | === Postwar ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Cultural_Revolution,Great Proletarian Cultural Revolution,6576,48,1.0,0.0,6,15,== Life == | === Postwar ===
http://dbpedia.org/class/yago/Abstraction105854150,http://dbpedia.org/resource/Cultural_Revolution,Great Proletarian Cultural Revolution,6576,48,1.0,0.0,6,15,== Life == | === Postwar ===
http://dbpedia.org/class/yago/Attribute100024264,http://dbpedia.org/resource/Cultural_Revolution,Great Proletarian Cultural Revolution,6576,48,1.0,0.0,6,15,== Life == | === Postwar ===
http://dbpedia.org/class/yago/Calamity107314838,http://dbpedia.org/resource/Cultural_Revolution,Great Proletarian Cultural Revolution,6576,48,1.0,0.0,6,15,== Life == | === Postwar ===
http://dbpedia.org/class/yago/Change107296428,http://dbpedia.org/resource/Cultural_Revolution,Great Proletarian Cultural Revolution,6576,48,1.0,0.0,6,15,== Life == | === Postwar ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Cultural_Revolution,Great Proletarian Cultural Revolution,6576,48,1.0,0.0,6,15,== Life == | === Postwar ===
http://dbpedia.org/class/yago/Concept105835747,http://dbpedia.org/resource/Cultural_Revolution,Great Proletarian Cultural Revolution,6576,48,1.0,0.0,6,15,== Life == | === Postwar ===
http://dbpedia.org/class/yago/Condition113920835,http://dbpedia.org/resource/Cultural_Revolution,Great Proletarian Cultural Revolution,6576,48,1.0,0.0,6,15,== Life == | === Postwar ===
http://dbpedia.org/class/yago/Content105809192,http://dbpedia.org/resource/Cultural_Revolution,Great Proletarian Cultural Revolution,6576,48,1.0,0.0,6,15,== Life == | === Postwar ===
http://dbpedia.org/class/yago/Energy114050143,http://dbpedia.org/resource/Cultural_Revolution,Great Proletarian Cultural Revolution,6576,48,1.0,0.0,6,15,== Life == | === Postwar ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Cultural_Revolution,Great Proletarian Cultural Revolution,6576,48,1.0,0.0,6,15,== Life == | === Postwar ===
http://dbpedia.org/class/yago/GoodHealth114049711,http://dbpedia.org/resource/Cultural_Revolution,Great Proletarian Cultural Revolution,6576,48,1.0,0.0,6,15,== Life == | === Postwar ===
http://dbpedia.org/class/yago/Happening107283608,http://dbpedia.org/resource/Cultural_Revolution,Great Proletarian Cultural Revolution,6576,48,1.0,0.0,6,15,== Life == | === Postwar ===
http://dbpedia.org/class/yago/HumanRight105176846,http://dbpedia.org/resource/Cultural_Revolution,Great Proletarian Cultural Revolution,6576,48,1.0,0.0,6,15,== Life == | === Postwar ===
http://dbpedia.org/class/yago/Idea105833840,http://dbpedia.org/resource/Cultural_Revolution,Great Proletarian Cultural Revolution,6576,48,1.0,0.0,6,15,== Life == | === Postwar ===
http://dbpedia.org/class/yago/Misfortune107304852,http://dbpedia.org/resource/Cultural_Revolution,Great Proletarian Cultural Revolution,6576,48,1.0,0.0,6,15,== Life == | === Postwar ===
http://dbpedia.org/class/yago/PhysicalCondition114034177,http://dbpedia.org/resource/Cultural_Revolution,Great Proletarian Cultural Revolution,6576,48,1.0,0.0,6,15,== Life == | === Postwar ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Cultural_Revolution,Great Proletarian Cultural Revolution,6576,48,1.0,0.0,6,15,== Life == | === Postwar ===
http://dbpedia.org/class/yago/Qi114050559,http://dbpedia.org/resource/Cultural_Revolution,Great Proletarian Cultural Revolution,6576,48,1.0,0.0,6,15,== Life == | === Postwar ===
http://dbpedia.org/class/yago/Revolution107424109,http://dbpedia.org/resource/Cultural_Revolution,Great Proletarian Cultural Revolution,6576,48,1.0,0.0,6,15,== Life == | === Postwar ===
http://dbpedia.org/class/yago/Right105174653,http://dbpedia.org/resource/Cultural_Revolution,Great Proletarian Cultural Revolution,6576,48,1.0,0.0,6,15,== Life == | === Postwar ===
http://dbpedia.org/class/yago/State100024720,http://dbpedia.org/resource/Cultural_Revolution,Great Proletarian Cultural Revolution,6576,48,1.0,0.0,6,15,== Life == | === Postwar ===
http://dbpedia.org/class/yago/Trouble107289014,http://dbpedia.org/resource/Cultural_Revolution,Great Proletarian Cultural Revolution,6576,48,1.0,0.0,6,15,== Life == | === Postwar ===
http://dbpedia.org/class/yago/Wikicat20th-centuryRevolutions,http://dbpedia.org/resource/Cultural_Revolution,Great Proletarian Cultural Revolution,6576,48,1.0,0.0,6,15,== Life == | === Postwar ===
