types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/Motion100279835,http://dbpedia.org/resource/Friendship_Pass,Zhennanguan,61,0,0.999999994365652,0.0,1,38,== Revolution == | === Zhennanguan uprising ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Friendship_Pass,Zhennanguan,61,0,0.999999994365652,0.0,1,38,== Revolution == | === Zhennanguan uprising ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Friendship_Pass,Zhennanguan,61,0,0.999999994365652,0.0,1,38,== Revolution == | === Zhennanguan uprising ===
http://dbpedia.org/class/yago/Action100037396,http://dbpedia.org/resource/Friendship_Pass,Zhennanguan,61,0,0.999999994365652,0.0,1,38,== Revolution == | === Zhennanguan uprising ===
http://dbpedia.org/class/yago/Change100191142,http://dbpedia.org/resource/Friendship_Pass,Zhennanguan,61,0,0.999999994365652,0.0,1,38,== Revolution == | === Zhennanguan uprising ===
http://dbpedia.org/class/yago/Crossing100297532,http://dbpedia.org/resource/Friendship_Pass,Zhennanguan,61,0,0.999999994365652,0.0,1,38,== Revolution == | === Zhennanguan uprising ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Friendship_Pass,Zhennanguan,61,0,0.999999994365652,0.0,1,38,== Revolution == | === Zhennanguan uprising ===
http://dbpedia.org/ontology/MountainPass,http://dbpedia.org/resource/Friendship_Pass,Zhennanguan,61,0,0.999999994365652,0.0,1,38,== Revolution == | === Zhennanguan uprising ===
http://dbpedia.org/class/yago/WikicatChina–VietnamBorderCrossings,http://dbpedia.org/resource/Friendship_Pass,Zhennanguan,61,0,0.999999994365652,0.0,1,38,== Revolution == | === Zhennanguan uprising ===
http://dbpedia.org/class/yago/Travel100295701,http://dbpedia.org/resource/Friendship_Pass,Zhennanguan,61,0,0.999999994365652,0.0,1,38,== Revolution == | === Zhennanguan uprising ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Friendship_Pass,Zhennanguan,61,0,0.999999994365652,0.0,1,38,== Revolution == | === Zhennanguan uprising ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Friendship_Pass,Zhennanguan,61,0,0.999999994365652,0.0,1,38,== Revolution == | === Zhennanguan uprising ===
