types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/John_Batdorf,John Batdorf,24,54,1.0,0.0,3,7,== Biography == | === Pre-Dead ===
http://dbpedia.org/ontology/MusicalArtist,http://dbpedia.org/resource/John_Batdorf,John Batdorf,24,54,1.0,0.0,3,7,== Biography == | === Pre-Dead ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Monty_Byrom,Monty Byrom,21,0,1.0,0.0,1,12,== Biography == | === Grateful Dead ===
http://dbpedia.org/class/yago/WikicatAmericanCountryGuitarists,http://dbpedia.org/resource/Monty_Byrom,Monty Byrom,21,0,1.0,0.0,1,12,== Biography == | === Grateful Dead ===
http://dbpedia.org/class/yago/WikicatAmericanRockMusicians,http://dbpedia.org/resource/Monty_Byrom,Monty Byrom,21,0,1.0,0.0,1,12,== Biography == | === Grateful Dead ===
http://dbpedia.org/ontology/Band,http://dbpedia.org/resource/Monty_Byrom,Monty Byrom,21,0,1.0,0.0,1,12,== Biography == | === Grateful Dead ===
http://dbpedia.org/ontology/MusicalArtist,http://dbpedia.org/resource/Monty_Byrom,Monty Byrom,21,0,1.0,0.0,1,12,== Biography == | === Grateful Dead ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Monty_Byrom,Monty Byrom,21,0,1.0,0.0,1,12,== Biography == | === Grateful Dead ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Monty_Byrom,Monty Byrom,21,0,1.0,0.0,1,12,== Biography == | === Grateful Dead ===
http://dbpedia.org/class/yago/WikicatLivingPeople,http://dbpedia.org/resource/Monty_Byrom,Monty Byrom,21,0,1.0,0.0,1,12,== Biography == | === Grateful Dead ===
http://dbpedia.org/class/yago/Artist109812338,http://dbpedia.org/resource/Monty_Byrom,Monty Byrom,21,0,1.0,0.0,1,12,== Biography == | === Grateful Dead ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Monty_Byrom,Monty Byrom,21,0,1.0,0.0,1,12,== Biography == | === Grateful Dead ===
http://dbpedia.org/class/yago/Creator109614315,http://dbpedia.org/resource/Monty_Byrom,Monty Byrom,21,0,1.0,0.0,1,12,== Biography == | === Grateful Dead ===
http://dbpedia.org/class/yago/Entertainer109616922,http://dbpedia.org/resource/Monty_Byrom,Monty Byrom,21,0,1.0,0.0,1,12,== Biography == | === Grateful Dead ===
http://dbpedia.org/class/yago/Guitarist110151760,http://dbpedia.org/resource/Monty_Byrom,Monty Byrom,21,0,1.0,0.0,1,12,== Biography == | === Grateful Dead ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Monty_Byrom,Monty Byrom,21,0,1.0,0.0,1,12,== Biography == | === Grateful Dead ===
http://dbpedia.org/class/yago/Musician110339966,http://dbpedia.org/resource/Monty_Byrom,Monty Byrom,21,0,1.0,0.0,1,12,== Biography == | === Grateful Dead ===
http://dbpedia.org/class/yago/Musician110340312,http://dbpedia.org/resource/Monty_Byrom,Monty Byrom,21,0,1.0,0.0,1,12,== Biography == | === Grateful Dead ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Monty_Byrom,Monty Byrom,21,0,1.0,0.0,1,12,== Biography == | === Grateful Dead ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Monty_Byrom,Monty Byrom,21,0,1.0,0.0,1,12,== Biography == | === Grateful Dead ===
http://dbpedia.org/class/yago/Performer110415638,http://dbpedia.org/resource/Monty_Byrom,Monty Byrom,21,0,1.0,0.0,1,12,== Biography == | === Grateful Dead ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Monty_Byrom,Monty Byrom,21,0,1.0,0.0,1,12,== Biography == | === Grateful Dead ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Monty_Byrom,Monty Byrom,21,0,1.0,0.0,1,12,== Biography == | === Grateful Dead ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Monty_Byrom,Monty Byrom,21,0,1.0,0.0,1,12,== Biography == | === Grateful Dead ===
http://dbpedia.org/ontology/Software,http://dbpedia.org/resource/Roland_GS,GS,27,32,0.965694262256851,0.0281721199435474,5,16,== Biography == | ==== Equipment ====
http://dbpedia.org/class/yago/WikicatMIDIStandards,http://dbpedia.org/resource/Roland_GS,GS,27,32,0.965694262256851,0.0281721199435474,5,16,== Biography == | ==== Equipment ====
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Roland_GS,GS,27,32,0.965694262256851,0.0281721199435474,5,16,== Biography == | ==== Equipment ====
http://dbpedia.org/class/yago/Measure100033615,http://dbpedia.org/resource/Roland_GS,GS,27,32,0.965694262256851,0.0281721199435474,5,16,== Biography == | ==== Equipment ====
http://dbpedia.org/class/yago/Standard107260623,http://dbpedia.org/resource/Roland_GS,GS,27,32,0.965694262256851,0.0281721199435474,5,16,== Biography == | ==== Equipment ====
http://dbpedia.org/class/yago/SystemOfMeasurement113577171,http://dbpedia.org/resource/Roland_GS,GS,27,32,0.965694262256851,0.0281721199435474,5,16,== Biography == | ==== Equipment ====
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Oakmont_Memorial_Park,Oakmont Memorial Park,7,21,1.0,0.0,4,26,== Biography == | === Death ===
http://dbpedia.org/ontology/Place,http://dbpedia.org/resource/Oakmont_Memorial_Park,Oakmont Memorial Park,7,21,1.0,0.0,4,26,== Biography == | === Death ===
http://dbpedia.org/class/yago/WikicatCemeteriesInCalifornia,http://dbpedia.org/resource/Oakmont_Memorial_Park,Oakmont Memorial Park,7,21,1.0,0.0,4,26,== Biography == | === Death ===
