types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Prestige_Elite,Prestige Elite,8,38,0.9999999999895977,0.0,0,14,== Discography == | === As leader ===
http://dbpedia.org/class/yago/WrittenSymbol106817623,http://dbpedia.org/resource/Prestige_Elite,Prestige Elite,8,38,0.9999999999895977,0.0,0,14,== Discography == | === As leader ===
http://dbpedia.org/class/yago/WikicatMonospacedTypefaces,http://dbpedia.org/resource/Prestige_Elite,Prestige Elite,8,38,0.9999999999895977,0.0,0,14,== Discography == | === As leader ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Prestige_Elite,Prestige Elite,8,38,0.9999999999895977,0.0,0,14,== Discography == | === As leader ===
http://dbpedia.org/class/yago/Character106818970,http://dbpedia.org/resource/Prestige_Elite,Prestige Elite,8,38,0.9999999999895977,0.0,0,14,== Discography == | === As leader ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Prestige_Elite,Prestige Elite,8,38,0.9999999999895977,0.0,0,14,== Discography == | === As leader ===
http://dbpedia.org/class/yago/Font106825399,http://dbpedia.org/resource/Prestige_Elite,Prestige Elite,8,38,0.9999999999895977,0.0,0,14,== Discography == | === As leader ===
http://dbpedia.org/class/yago/Signal106791372,http://dbpedia.org/resource/Prestige_Elite,Prestige Elite,8,38,0.9999999999895977,0.0,0,14,== Discography == | === As leader ===
http://dbpedia.org/class/yago/Symbol106806469,http://dbpedia.org/resource/Prestige_Elite,Prestige Elite,8,38,0.9999999999895977,0.0,0,14,== Discography == | === As leader ===
http://dbpedia.org/class/yago/Type106825120,http://dbpedia.org/resource/Prestige_Elite,Prestige Elite,8,38,0.9999999999895977,0.0,0,14,== Discography == | === As leader ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Trudy_Richards,Trudy Richards,10,0,0.9999999288929357,0.0,0,149,== Discography == | === As guest ===
http://dbpedia.org/ontology/Road,http://dbpedia.org/resource/Beekman_Place,Beekman Place,73,36,1.0,0.0,0,149,== Discography == | === As guest ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Beekman_Place,Beekman Place,73,36,1.0,0.0,0,149,== Discography == | === As guest ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Beekman_Place,Beekman Place,73,36,1.0,0.0,0,149,== Discography == | === As guest ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Beekman_Place,Beekman Place,73,36,1.0,0.0,0,149,== Discography == | === As guest ===
http://dbpedia.org/class/yago/Area108497294,http://dbpedia.org/resource/Beekman_Place,Beekman Place,73,36,1.0,0.0,0,149,== Discography == | === As guest ===
http://dbpedia.org/class/yago/Location100027167,http://dbpedia.org/resource/Beekman_Place,Beekman Place,73,36,1.0,0.0,0,149,== Discography == | === As guest ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Beekman_Place,Beekman Place,73,36,1.0,0.0,0,149,== Discography == | === As guest ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Beekman_Place,Beekman Place,73,36,1.0,0.0,0,149,== Discography == | === As guest ===
http://dbpedia.org/class/yago/Region108630985,http://dbpedia.org/resource/Beekman_Place,Beekman Place,73,36,1.0,0.0,0,149,== Discography == | === As guest ===
http://dbpedia.org/class/yago/Section108648322,http://dbpedia.org/resource/Beekman_Place,Beekman Place,73,36,1.0,0.0,0,149,== Discography == | === As guest ===
http://dbpedia.org/class/yago/Vicinity108641113,http://dbpedia.org/resource/Beekman_Place,Beekman Place,73,36,1.0,0.0,0,149,== Discography == | === As guest ===
http://dbpedia.org/class/yago/WikicatNeighborhoodsInManhattan,http://dbpedia.org/resource/Beekman_Place,Beekman Place,73,36,1.0,0.0,0,149,== Discography == | === As guest ===
