types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/PopulatedPlace,http://dbpedia.org/resource/Virtual_state,Virtual State,23,0,0.999632386541258,0.0003677124760672521,0,24,== Partial discography == | === Albums ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Dasein,Dasein,205,0,0.9999998708960276,0.0,0,37,== Partial discography == | === Albums ===
http://dbpedia.org/class/yago/WikicatPhilosophicalConcepts,http://dbpedia.org/resource/Dasein,Dasein,205,0,0.9999998708960276,0.0,0,37,== Partial discography == | === Albums ===
http://dbpedia.org/ontology/Food,http://dbpedia.org/resource/Dasein,Dasein,205,0,0.9999998708960276,0.0,0,37,== Partial discography == | === Albums ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Dasein,Dasein,205,0,0.9999998708960276,0.0,0,37,== Partial discography == | === Albums ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Dasein,Dasein,205,0,0.9999998708960276,0.0,0,37,== Partial discography == | === Albums ===
http://dbpedia.org/class/yago/Concept105835747,http://dbpedia.org/resource/Dasein,Dasein,205,0,0.9999998708960276,0.0,0,37,== Partial discography == | === Albums ===
http://dbpedia.org/class/yago/Content105809192,http://dbpedia.org/resource/Dasein,Dasein,205,0,0.9999998708960276,0.0,0,37,== Partial discography == | === Albums ===
http://dbpedia.org/class/yago/Idea105833840,http://dbpedia.org/resource/Dasein,Dasein,205,0,0.9999998708960276,0.0,0,37,== Partial discography == | === Albums ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Dasein,Dasein,205,0,0.9999998708960276,0.0,0,37,== Partial discography == | === Albums ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Digital_Life,Digital Life,4,0,0.9975560409155542,0.0024499465239148,0,49,== Partial discography == | ==== As Sandoz ====
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/resource/Digital_Life,Digital Life,4,0,0.9975560409155542,0.0024499465239148,0,49,== Partial discography == | ==== As Sandoz ====
