types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Yucca_brevifolia,Joshua tree,253,122,1.0,0.0,6,23,== Musical career == | === Kidsticks ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Yucca_brevifolia,Joshua tree,253,122,1.0,0.0,6,23,== Musical career == | === Kidsticks ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Yucca_brevifolia,Joshua tree,253,122,1.0,0.0,6,23,== Musical career == | === Kidsticks ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Yucca_brevifolia,Joshua tree,253,122,1.0,0.0,6,23,== Musical career == | === Kidsticks ===
http://dbpedia.org/class/yago/GardenPlant113083306,http://dbpedia.org/resource/Yucca_brevifolia,Joshua tree,253,122,1.0,0.0,6,23,== Musical career == | === Kidsticks ===
http://dbpedia.org/class/yago/WikicatGardenPlantsOfNorthAmerica,http://dbpedia.org/resource/Yucca_brevifolia,Joshua tree,253,122,1.0,0.0,6,23,== Musical career == | === Kidsticks ===
http://dbpedia.org/ontology/Eukaryote,http://dbpedia.org/resource/Yucca_brevifolia,Joshua tree,253,122,1.0,0.0,6,23,== Musical career == | === Kidsticks ===
http://umbel.org/umbel/rc/BiologicalLivingObject,http://dbpedia.org/resource/Yucca_brevifolia,Joshua tree,253,122,1.0,0.0,6,23,== Musical career == | === Kidsticks ===
http://umbel.org/umbel/rc/EukaryoticCell,http://dbpedia.org/resource/Yucca_brevifolia,Joshua tree,253,122,1.0,0.0,6,23,== Musical career == | === Kidsticks ===
http://umbel.org/umbel/rc/Plant,http://dbpedia.org/resource/Yucca_brevifolia,Joshua tree,253,122,1.0,0.0,6,23,== Musical career == | === Kidsticks ===
http://dbpedia.org/class/yago/WikicatOrnamentalTrees,http://dbpedia.org/resource/Yucca_brevifolia,Joshua tree,253,122,1.0,0.0,6,23,== Musical career == | === Kidsticks ===
http://dbpedia.org/class/yago/WikicatTreesOfArizona,http://dbpedia.org/resource/Yucca_brevifolia,Joshua tree,253,122,1.0,0.0,6,23,== Musical career == | === Kidsticks ===
http://dbpedia.org/class/yago/WikicatTreesOfCalifornia,http://dbpedia.org/resource/Yucca_brevifolia,Joshua tree,253,122,1.0,0.0,6,23,== Musical career == | === Kidsticks ===
http://dbpedia.org/class/yago/WikicatTreesOfNevada,http://dbpedia.org/resource/Yucca_brevifolia,Joshua tree,253,122,1.0,0.0,6,23,== Musical career == | === Kidsticks ===
http://dbpedia.org/class/yago/WikicatTreesOfUtah,http://dbpedia.org/resource/Yucca_brevifolia,Joshua tree,253,122,1.0,0.0,6,23,== Musical career == | === Kidsticks ===
http://dbpedia.org/class/yago/Tree113104059,http://dbpedia.org/resource/Yucca_brevifolia,Joshua tree,253,122,1.0,0.0,6,23,== Musical career == | === Kidsticks ===
http://dbpedia.org/class/yago/VascularPlant113083586,http://dbpedia.org/resource/Yucca_brevifolia,Joshua tree,253,122,1.0,0.0,6,23,== Musical career == | === Kidsticks ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Yucca_brevifolia,Joshua tree,253,122,1.0,0.0,6,23,== Musical career == | === Kidsticks ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Yucca_brevifolia,Joshua tree,253,122,1.0,0.0,6,23,== Musical career == | === Kidsticks ===
http://dbpedia.org/class/yago/Plant100017222,http://dbpedia.org/resource/Yucca_brevifolia,Joshua tree,253,122,1.0,0.0,6,23,== Musical career == | === Kidsticks ===
http://dbpedia.org/class/yago/WikicatDrought-tolerantTrees,http://dbpedia.org/resource/Yucca_brevifolia,Joshua tree,253,122,1.0,0.0,6,23,== Musical career == | === Kidsticks ===
http://dbpedia.org/class/yago/WoodyPlant113103136,http://dbpedia.org/resource/Yucca_brevifolia,Joshua tree,253,122,1.0,0.0,6,23,== Musical career == | === Kidsticks ===
