types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Orange_County_Convention_Center,Orange County Convention Center,86,232,1.0,0.0,0,8,== Career == | === Concerts ===
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Orange_County_Convention_Center,Orange County Convention Center,86,232,1.0,0.0,0,8,== Career == | === Concerts ===
http://dbpedia.org/ontology/Building,http://dbpedia.org/resource/Orange_County_Convention_Center,Orange County Convention Center,86,232,1.0,0.0,0,8,== Career == | === Concerts ===
http://dbpedia.org/class/yago/WikicatConventionCentersInFlorida,http://dbpedia.org/resource/Orange_County_Convention_Center,Orange County Convention Center,86,232,1.0,0.0,0,8,== Career == | === Concerts ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Orange_County_Convention_Center,Orange County Convention Center,86,232,1.0,0.0,0,8,== Career == | === Concerts ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Orange_County_Convention_Center,Orange County Convention Center,86,232,1.0,0.0,0,8,== Career == | === Concerts ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Orange_County_Convention_Center,Orange County Convention Center,86,232,1.0,0.0,0,8,== Career == | === Concerts ===
http://dbpedia.org/class/yago/Area108497294,http://dbpedia.org/resource/Orange_County_Convention_Center,Orange County Convention Center,86,232,1.0,0.0,0,8,== Career == | === Concerts ===
http://dbpedia.org/class/yago/Center108523483,http://dbpedia.org/resource/Orange_County_Convention_Center,Orange County Convention Center,86,232,1.0,0.0,0,8,== Career == | === Concerts ===
http://dbpedia.org/class/yago/Location100027167,http://dbpedia.org/resource/Orange_County_Convention_Center,Orange County Convention Center,86,232,1.0,0.0,0,8,== Career == | === Concerts ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Orange_County_Convention_Center,Orange County Convention Center,86,232,1.0,0.0,0,8,== Career == | === Concerts ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Orange_County_Convention_Center,Orange County Convention Center,86,232,1.0,0.0,0,8,== Career == | === Concerts ===
http://dbpedia.org/class/yago/Region108630985,http://dbpedia.org/resource/Orange_County_Convention_Center,Orange County Convention Center,86,232,1.0,0.0,0,8,== Career == | === Concerts ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Victoria_Hall_(Geneva),Victoria Hall (Geneva),41,493,1.0,0.0,0,8,== Career == | === Concerts ===
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Victoria_Hall_(Geneva),Victoria Hall (Geneva),41,493,1.0,0.0,0,8,== Career == | === Concerts ===
http://dbpedia.org/ontology/Building,http://dbpedia.org/resource/Victoria_Hall_(Geneva),Victoria Hall (Geneva),41,493,1.0,0.0,0,8,== Career == | === Concerts ===
http://dbpedia.org/class/yago/WikicatBuildingsAndStructuresInGeneva,http://dbpedia.org/resource/Victoria_Hall_(Geneva),Victoria Hall (Geneva),41,493,1.0,0.0,0,8,== Career == | === Concerts ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Victoria_Hall_(Geneva),Victoria Hall (Geneva),41,493,1.0,0.0,0,8,== Career == | === Concerts ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Victoria_Hall_(Geneva),Victoria Hall (Geneva),41,493,1.0,0.0,0,8,== Career == | === Concerts ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Victoria_Hall_(Geneva),Victoria Hall (Geneva),41,493,1.0,0.0,0,8,== Career == | === Concerts ===
http://dbpedia.org/class/yago/Building102913152,http://dbpedia.org/resource/Victoria_Hall_(Geneva),Victoria Hall (Geneva),41,493,1.0,0.0,0,8,== Career == | === Concerts ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Victoria_Hall_(Geneva),Victoria Hall (Geneva),41,493,1.0,0.0,0,8,== Career == | === Concerts ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Victoria_Hall_(Geneva),Victoria Hall (Geneva),41,493,1.0,0.0,0,8,== Career == | === Concerts ===
http://dbpedia.org/class/yago/Structure104341686,http://dbpedia.org/resource/Victoria_Hall_(Geneva),Victoria Hall (Geneva),41,493,1.0,0.0,0,8,== Career == | === Concerts ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Victoria_Hall_(Geneva),Victoria Hall (Geneva),41,493,1.0,0.0,0,8,== Career == | === Concerts ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Teatro_Manzoni,Teatro Manzoni,18,561,1.0,0.0,0,8,== Career == | === Concerts ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Qatar_Philharmonic_Orchestra,Qatar Philharmonic Orchestra,26,81,1.0,0.0,0,9,== Career == | === Concerts ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Qatar_Philharmonic_Orchestra,Qatar Philharmonic Orchestra,26,81,1.0,0.0,0,9,== Career == | === Concerts ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Qatar_Philharmonic_Orchestra,Qatar Philharmonic Orchestra,26,81,1.0,0.0,0,9,== Career == | === Concerts ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Qatar_Philharmonic_Orchestra,Qatar Philharmonic Orchestra,26,81,1.0,0.0,0,9,== Career == | === Concerts ===
http://dbpedia.org/class/yago/WikicatMusicalGroupsEstablishedIn2007,http://dbpedia.org/resource/Qatar_Philharmonic_Orchestra,Qatar Philharmonic Orchestra,26,81,1.0,0.0,0,9,== Career == | === Concerts ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Qatar_Philharmonic_Orchestra,Qatar Philharmonic Orchestra,26,81,1.0,0.0,0,9,== Career == | === Concerts ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Qatar_Philharmonic_Orchestra,Qatar Philharmonic Orchestra,26,81,1.0,0.0,0,9,== Career == | === Concerts ===
http://dbpedia.org/class/yago/MusicalOrganization108246613,http://dbpedia.org/resource/Qatar_Philharmonic_Orchestra,Qatar Philharmonic Orchestra,26,81,1.0,0.0,0,9,== Career == | === Concerts ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Qatar_Philharmonic_Orchestra,Qatar Philharmonic Orchestra,26,81,1.0,0.0,0,9,== Career == | === Concerts ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Qatar_Philharmonic_Orchestra,Qatar Philharmonic Orchestra,26,81,1.0,0.0,0,9,== Career == | === Concerts ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Lithuanian_National_Symphony_Orchestra,Lithuanian National Symphony Orchestra,27,111,1.0,0.0,0,9,== Career == | === Concerts ===
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/resource/Lithuanian_National_Symphony_Orchestra,Lithuanian National Symphony Orchestra,27,111,1.0,0.0,0,9,== Career == | === Concerts ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Lithuanian_National_Symphony_Orchestra,Lithuanian National Symphony Orchestra,27,111,1.0,0.0,0,9,== Career == | === Concerts ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Lithuanian_National_Symphony_Orchestra,Lithuanian National Symphony Orchestra,27,111,1.0,0.0,0,9,== Career == | === Concerts ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Lithuanian_National_Symphony_Orchestra,Lithuanian National Symphony Orchestra,27,111,1.0,0.0,0,9,== Career == | === Concerts ===
http://dbpedia.org/class/yago/WikicatLithuanianOrchestras,http://dbpedia.org/resource/Lithuanian_National_Symphony_Orchestra,Lithuanian National Symphony Orchestra,27,111,1.0,0.0,0,9,== Career == | === Concerts ===
http://dbpedia.org/class/yago/WikicatMusicalGroupsEstablishedIn1940,http://dbpedia.org/resource/Lithuanian_National_Symphony_Orchestra,Lithuanian National Symphony Orchestra,27,111,1.0,0.0,0,9,== Career == | === Concerts ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Lithuanian_National_Symphony_Orchestra,Lithuanian National Symphony Orchestra,27,111,1.0,0.0,0,9,== Career == | === Concerts ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Lithuanian_National_Symphony_Orchestra,Lithuanian National Symphony Orchestra,27,111,1.0,0.0,0,9,== Career == | === Concerts ===
http://dbpedia.org/class/yago/MusicalOrganization108246613,http://dbpedia.org/resource/Lithuanian_National_Symphony_Orchestra,Lithuanian National Symphony Orchestra,27,111,1.0,0.0,0,9,== Career == | === Concerts ===
http://dbpedia.org/class/yago/Orchestra108248157,http://dbpedia.org/resource/Lithuanian_National_Symphony_Orchestra,Lithuanian National Symphony Orchestra,27,111,1.0,0.0,0,9,== Career == | === Concerts ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Lithuanian_National_Symphony_Orchestra,Lithuanian National Symphony Orchestra,27,111,1.0,0.0,0,9,== Career == | === Concerts ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Lithuanian_National_Symphony_Orchestra,Lithuanian National Symphony Orchestra,27,111,1.0,0.0,0,9,== Career == | === Concerts ===
http://dbpedia.org/class/yago/WikicatOrganisationsBasedInVilnius,http://dbpedia.org/resource/Lithuanian_National_Symphony_Orchestra,Lithuanian National Symphony Orchestra,27,111,1.0,0.0,0,9,== Career == | === Concerts ===
