types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/The_Flight_Across_the_Ocean,Der Lindberghflug,15,0,1.0,0.0,1,37,== Compositions == | ==== Cantatas ====
http://dbpedia.org/class/yago/WikicatPlaysByBertoltBrecht,http://dbpedia.org/resource/The_Flight_Across_the_Ocean,Der Lindberghflug,15,0,1.0,0.0,1,37,== Compositions == | ==== Cantatas ====
http://dbpedia.org/ontology/Play,http://dbpedia.org/resource/The_Flight_Across_the_Ocean,Der Lindberghflug,15,0,1.0,0.0,1,37,== Compositions == | ==== Cantatas ====
http://dbpedia.org/class/yago/Writing106362953,http://dbpedia.org/resource/The_Flight_Across_the_Ocean,Der Lindberghflug,15,0,1.0,0.0,1,37,== Compositions == | ==== Cantatas ====
http://dbpedia.org/class/yago/WrittenCommunication106349220,http://dbpedia.org/resource/The_Flight_Across_the_Ocean,Der Lindberghflug,15,0,1.0,0.0,1,37,== Compositions == | ==== Cantatas ====
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/The_Flight_Across_the_Ocean,Der Lindberghflug,15,0,1.0,0.0,1,37,== Compositions == | ==== Cantatas ====
http://dbpedia.org/class/yago/AuditoryCommunication107109019,http://dbpedia.org/resource/The_Flight_Across_the_Ocean,Der Lindberghflug,15,0,1.0,0.0,1,37,== Compositions == | ==== Cantatas ====
http://dbpedia.org/class/yago/ClassicalMusic107025900,http://dbpedia.org/resource/The_Flight_Across_the_Ocean,Der Lindberghflug,15,0,1.0,0.0,1,37,== Compositions == | ==== Cantatas ====
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/The_Flight_Across_the_Ocean,Der Lindberghflug,15,0,1.0,0.0,1,37,== Compositions == | ==== Cantatas ====
http://dbpedia.org/class/yago/DramaticComposition107007684,http://dbpedia.org/resource/The_Flight_Across_the_Ocean,Der Lindberghflug,15,0,1.0,0.0,1,37,== Compositions == | ==== Cantatas ====
http://dbpedia.org/class/yago/ExpressiveStyle107066659,http://dbpedia.org/resource/The_Flight_Across_the_Ocean,Der Lindberghflug,15,0,1.0,0.0,1,37,== Compositions == | ==== Cantatas ====
http://dbpedia.org/class/yago/Music107020895,http://dbpedia.org/resource/The_Flight_Across_the_Ocean,Der Lindberghflug,15,0,1.0,0.0,1,37,== Compositions == | ==== Cantatas ====
http://dbpedia.org/class/yago/MusicGenre107071942,http://dbpedia.org/resource/The_Flight_Across_the_Ocean,Der Lindberghflug,15,0,1.0,0.0,1,37,== Compositions == | ==== Cantatas ====
http://dbpedia.org/class/yago/Opera107026352,http://dbpedia.org/resource/The_Flight_Across_the_Ocean,Der Lindberghflug,15,0,1.0,0.0,1,37,== Compositions == | ==== Cantatas ====
http://dbpedia.org/class/yago/Play107007945,http://dbpedia.org/resource/The_Flight_Across_the_Ocean,Der Lindberghflug,15,0,1.0,0.0,1,37,== Compositions == | ==== Cantatas ====
http://dbpedia.org/class/yago/Wikicat1929Operas,http://dbpedia.org/resource/The_Flight_Across_the_Ocean,Der Lindberghflug,15,0,1.0,0.0,1,37,== Compositions == | ==== Cantatas ====
http://dbpedia.org/class/yago/WikicatGerman-languageOperas,http://dbpedia.org/resource/The_Flight_Across_the_Ocean,Der Lindberghflug,15,0,1.0,0.0,1,37,== Compositions == | ==== Cantatas ====
http://dbpedia.org/class/yago/WikicatGermanPlays,http://dbpedia.org/resource/The_Flight_Across_the_Ocean,Der Lindberghflug,15,0,1.0,0.0,1,37,== Compositions == | ==== Cantatas ====
http://dbpedia.org/class/yago/WikicatOperas,http://dbpedia.org/resource/The_Flight_Across_the_Ocean,Der Lindberghflug,15,0,1.0,0.0,1,37,== Compositions == | ==== Cantatas ====
http://dbpedia.org/class/yago/WikicatOperasByKurtWeill,http://dbpedia.org/resource/The_Flight_Across_the_Ocean,Der Lindberghflug,15,0,1.0,0.0,1,37,== Compositions == | ==== Cantatas ====
http://dbpedia.org/class/yago/WikicatOperasByMultipleComposers,http://dbpedia.org/resource/The_Flight_Across_the_Ocean,Der Lindberghflug,15,0,1.0,0.0,1,37,== Compositions == | ==== Cantatas ====
http://dbpedia.org/class/yago/WikicatOperasByPaulHindemith,http://dbpedia.org/resource/The_Flight_Across_the_Ocean,Der Lindberghflug,15,0,1.0,0.0,1,37,== Compositions == | ==== Cantatas ====
