types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatAmericanLiteraryAwards,http://dbpedia.org/resource/Lambda_Literary_Award,Lambda Literary Awards,1182,72,1.0,0.0,1,16,== Career == | === Author ===
http://dbpedia.org/class/yago/WikicatAwardsEstablishedIn1988,http://dbpedia.org/resource/Lambda_Literary_Award,Lambda Literary Awards,1182,72,1.0,0.0,1,16,== Career == | === Author ===
http://dbpedia.org/class/yago/WikicatLGBT-relatedAwards,http://dbpedia.org/resource/Lambda_Literary_Award,Lambda Literary Awards,1182,72,1.0,0.0,1,16,== Career == | === Author ===
http://dbpedia.org/class/yago/WikicatLGBTEvents,http://dbpedia.org/resource/Lambda_Literary_Award,Lambda Literary Awards,1182,72,1.0,0.0,1,16,== Career == | === Author ===
http://dbpedia.org/class/yago/WikicatLGBTEventsInTheUnitedStates,http://dbpedia.org/resource/Lambda_Literary_Award,Lambda Literary Awards,1182,72,1.0,0.0,1,16,== Career == | === Author ===
http://dbpedia.org/class/yago/WikicatLGBTLiteraryAwards,http://dbpedia.org/resource/Lambda_Literary_Award,Lambda Literary Awards,1182,72,1.0,0.0,1,16,== Career == | === Author ===
http://dbpedia.org/class/yago/WikicatLambdaLiteraryAwards,http://dbpedia.org/resource/Lambda_Literary_Award,Lambda Literary Awards,1182,72,1.0,0.0,1,16,== Career == | === Author ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Lambda_Literary_Award,Lambda Literary Awards,1182,72,1.0,0.0,1,16,== Career == | === Author ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Lambda_Literary_Award,Lambda Literary Awards,1182,72,1.0,0.0,1,16,== Career == | === Author ===
http://dbpedia.org/class/yago/Award106696483,http://dbpedia.org/resource/Lambda_Literary_Award,Lambda Literary Awards,1182,72,1.0,0.0,1,16,== Career == | === Author ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Lambda_Literary_Award,Lambda Literary Awards,1182,72,1.0,0.0,1,16,== Career == | === Author ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Lambda_Literary_Award,Lambda Literary Awards,1182,72,1.0,0.0,1,16,== Career == | === Author ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Lambda_Literary_Award,Lambda Literary Awards,1182,72,1.0,0.0,1,16,== Career == | === Author ===
http://dbpedia.org/class/yago/Signal106791372,http://dbpedia.org/resource/Lambda_Literary_Award,Lambda Literary Awards,1182,72,1.0,0.0,1,16,== Career == | === Author ===
http://dbpedia.org/class/yago/Symbol106806469,http://dbpedia.org/resource/Lambda_Literary_Award,Lambda Literary Awards,1182,72,1.0,0.0,1,16,== Career == | === Author ===
