types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Alfred_E._Neuman,whatmeworry,141,122,0.9999999999824638,0.0,5,39,== Personal life == | === Humor ===
http://dbpedia.org/class/yago/ImaginaryBeing109483738,http://dbpedia.org/resource/Alfred_E._Neuman,whatmeworry,141,122,0.9999999999824638,0.0,5,39,== Personal life == | === Humor ===
http://dbpedia.org/class/yago/Imagination105625465,http://dbpedia.org/resource/Alfred_E._Neuman,whatmeworry,141,122,0.9999999999824638,0.0,5,39,== Personal life == | === Humor ===
http://dbpedia.org/class/yago/Ability105616246,http://dbpedia.org/resource/Alfred_E._Neuman,whatmeworry,141,122,0.9999999999824638,0.0,5,39,== Personal life == | === Humor ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Alfred_E._Neuman,whatmeworry,141,122,0.9999999999824638,0.0,5,39,== Personal life == | === Humor ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Alfred_E._Neuman,whatmeworry,141,122,0.9999999999824638,0.0,5,39,== Personal life == | === Humor ===
http://dbpedia.org/class/yago/Creativity105624700,http://dbpedia.org/resource/Alfred_E._Neuman,whatmeworry,141,122,0.9999999999824638,0.0,5,39,== Personal life == | === Humor ===
http://dbpedia.org/class/yago/FictionalCharacter109587565,http://dbpedia.org/resource/Alfred_E._Neuman,whatmeworry,141,122,0.9999999999824638,0.0,5,39,== Personal life == | === Humor ===
http://dbpedia.org/ontology/FictionalCharacter,http://dbpedia.org/resource/Alfred_E._Neuman,whatmeworry,141,122,0.9999999999824638,0.0,5,39,== Personal life == | === Humor ===
http://dbpedia.org/class/yago/WikicatComedyCharacters,http://dbpedia.org/resource/Alfred_E._Neuman,whatmeworry,141,122,0.9999999999824638,0.0,5,39,== Personal life == | === Humor ===
http://dbpedia.org/class/yago/WikicatComicsCharacters,http://dbpedia.org/resource/Alfred_E._Neuman,whatmeworry,141,122,0.9999999999824638,0.0,5,39,== Personal life == | === Humor ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Alfred_E._Neuman,whatmeworry,141,122,0.9999999999824638,0.0,5,39,== Personal life == | === Humor ===
http://dbpedia.org/class/yago/WikicatFictionalCharacters,http://dbpedia.org/resource/Alfred_E._Neuman,whatmeworry,141,122,0.9999999999824638,0.0,5,39,== Personal life == | === Humor ===
