types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Agent,http://dbpedia.org/resource/Antarctic_Circumpolar_Current,West wind drift,189,0,1.0,0.0,1,36,== Discography == | === Collaborations ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Antarctic_Circumpolar_Current,West wind drift,189,0,1.0,0.0,1,36,== Discography == | === Collaborations ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Antarctic_Circumpolar_Current,West wind drift,189,0,1.0,0.0,1,36,== Discography == | === Collaborations ===
http://dbpedia.org/class/yago/ChangeOfLocation107311115,http://dbpedia.org/resource/Antarctic_Circumpolar_Current,West wind drift,189,0,1.0,0.0,1,36,== Discography == | === Collaborations ===
http://dbpedia.org/class/yago/Current107406765,http://dbpedia.org/resource/Antarctic_Circumpolar_Current,West wind drift,189,0,1.0,0.0,1,36,== Discography == | === Collaborations ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Antarctic_Circumpolar_Current,West wind drift,189,0,1.0,0.0,1,36,== Discography == | === Collaborations ===
http://dbpedia.org/class/yago/Flow107405893,http://dbpedia.org/resource/Antarctic_Circumpolar_Current,West wind drift,189,0,1.0,0.0,1,36,== Discography == | === Collaborations ===
http://dbpedia.org/class/yago/Happening107283608,http://dbpedia.org/resource/Antarctic_Circumpolar_Current,West wind drift,189,0,1.0,0.0,1,36,== Discography == | === Collaborations ===
http://dbpedia.org/class/yago/Movement107309781,http://dbpedia.org/resource/Antarctic_Circumpolar_Current,West wind drift,189,0,1.0,0.0,1,36,== Discography == | === Collaborations ===
http://dbpedia.org/class/yago/OceanCurrent111488387,http://dbpedia.org/resource/Antarctic_Circumpolar_Current,West wind drift,189,0,1.0,0.0,1,36,== Discography == | === Collaborations ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Antarctic_Circumpolar_Current,West wind drift,189,0,1.0,0.0,1,36,== Discography == | === Collaborations ===
http://dbpedia.org/class/yago/WikicatOceanCurrents,http://dbpedia.org/resource/Antarctic_Circumpolar_Current,West wind drift,189,0,1.0,0.0,1,36,== Discography == | === Collaborations ===
