types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Oleg_II_of_Ryazan,Oleg,30,0,0.948876575579784,0.0409233502421101,0,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/WikicatGrandPrincesOfRyazan,http://dbpedia.org/resource/Oleg_II_of_Ryazan,Oleg,30,0,0.948876575579784,0.0409233502421101,0,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Oleg_II_of_Ryazan,Oleg,30,0,0.948876575579784,0.0409233502421101,0,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Oleg_II_of_Ryazan,Oleg,30,0,0.948876575579784,0.0409233502421101,0,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/Aristocrat109807754,http://dbpedia.org/resource/Oleg_II_of_Ryazan,Oleg,30,0,0.948876575579784,0.0409233502421101,0,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Oleg_II_of_Ryazan,Oleg,30,0,0.948876575579784,0.0409233502421101,0,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/Leader109623038,http://dbpedia.org/resource/Oleg_II_of_Ryazan,Oleg,30,0,0.948876575579784,0.0409233502421101,0,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Oleg_II_of_Ryazan,Oleg,30,0,0.948876575579784,0.0409233502421101,0,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Oleg_II_of_Ryazan,Oleg,30,0,0.948876575579784,0.0409233502421101,0,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Oleg_II_of_Ryazan,Oleg,30,0,0.948876575579784,0.0409233502421101,0,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Oleg_II_of_Ryazan,Oleg,30,0,0.948876575579784,0.0409233502421101,0,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Oleg_II_of_Ryazan,Oleg,30,0,0.948876575579784,0.0409233502421101,0,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/Prince110472799,http://dbpedia.org/resource/Oleg_II_of_Ryazan,Oleg,30,0,0.948876575579784,0.0409233502421101,0,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/Ruler110541229,http://dbpedia.org/resource/Oleg_II_of_Ryazan,Oleg,30,0,0.948876575579784,0.0409233502421101,0,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Oleg_II_of_Ryazan,Oleg,30,0,0.948876575579784,0.0409233502421101,0,3,== Biography == | === Early life ===
http://dbpedia.org/class/yago/Wikicat14th-centuryRulersInEurope,http://dbpedia.org/resource/Oleg_II_of_Ryazan,Oleg,30,0,0.948876575579784,0.0409233502421101,0,3,== Biography == | === Early life ===
