types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Record_label,Moonbootique,10092,49,1.0,0.0,0,24,== Discography == | === Singles ===
http://dbpedia.org/ontology/Company,http://dbpedia.org/resource/Record_label,Moonbootique,10092,49,1.0,0.0,0,24,== Discography == | === Singles ===
http://dbpedia.org/ontology/PersonFunction,http://dbpedia.org/resource/Record_label,Moonbootique,10092,49,1.0,0.0,0,24,== Discography == | === Singles ===
